Station,lat,lon
ул. Назарбаева–ул.Хаджымукана,43.224545,76.953318
пр.Аль-Фараби-ул.Мендикулова,43.2287,76.9541
ул. Мендикулова - ул. Бектурова,43.2324,76.9532
пр. Достык - ул. Жолдасбекова ,43.234857,76.958203
ул.Сатпаева - пр.Достык,43.239,76.9577
ул. Сатпаева - пр. Назарбаева,43.2391,76.9492
пр. Абая - пр. Достык,43.2432182,76.956374
Станция метро ,43.2428603,76.9514523
ул.Кунаева – ул.Курмангазы,43.245,76.9513889
пр. Назарбаева - ул. Шевченко ,43.2466,76.948
Ул.Богенбай батыра - ул.Валиханова,43.253621,76.95212
ул.Пушкина - ул.Кабанбай батыра,43.2505,76.9541
пр. Назарбаева - ул. Кабанбай батыра,43.2497,76.9476
ул. Толе би - пр. Назарбаева,43.2551105,76.9469313
ул. Кунаева - ул. Айтеке би,43.2584736,76.9499674
Центральный парк культуры и отдыха им.Горького,43.2611111,76.9657778
ул.Гоголя – ул.Каирбекова,43.2610278,76.961
ул. Гоголя - пр. Достык,43.2604168,76.9548231
ул.Макатаева – ул.Калдаякова,43.2646944,76.9575
ул.Нусупбекова – ул.Маметова,43.267946,76.955043
Ул. Маметовой – ул.Кунаева,43.2675833,76.9482222
ул.Пушкина – пр.Райымбека ,43.269329,76.951816
пр.Аль-Фараби - ул.Козыбаева,43.2286197,76.9479147
пр.Аль-Фараби -пр.Сейфуллина,43.227,76.9412
пр. Аль-Фараби -  ул.Бальзака,43.2232,76.936
ТРЦ Esentai Mall,43.2177435,76.9281458
пр.Аль-Фараби–ул.Ремизовка,43.215427,76.924373
пр.Аль-Фараби Университет ,43.210718,76.917639
ул.Ходжанова - пр.Аль-Фараби  ,43.206754,76.9133196
Исиналиева 37 (мкрн.Казахфильм),43.1980652,76.9070573
ул.Ходжанова - ул.Ергожина,43.2108069,76.9076899
ул.Жарокова - ул.Левитана,43.2039355,76.9042977
ул.Гагарина - ул.Кожабекова,43.20075,76.899056
ул.Розыбакиева – пр. Аль-Фараби,43.196861,76.894539
ул.Розыбакиева (ТРЦ MEGA Alma-Ata),43.201913,76.894507
пр.Аль-Фараби – ул.Мустафина ,43.194999,76.880626
ул.Биржана – ул.Мустафина ,43.198143,76.88054
ул.Ходжанова - Жарокова,43.2105876,76.9035454
ул.Жарокова - ул.Байкадамова,43.215234,76.9029077
ул. Гагарина - ул. Ходжанова,43.2103789,76.8984417
"ул.Гагарина, 292 (выше ул. Ескараева)",43.2062702,76.8988118
ул.Абиша Кекилбайулы (колледж искусств имени Т.К.Жургенова),43.206113,76.889727
ул.Мустафина – ул.Торайгырова,43.202634,76.878809
"ул.Торайгырова, 19 (Колледж им.Сулеймана Демиреля)",43.202,76.8754
