Station,lat,lon
2nd/Congress,30.26408,-97.74355
4th/Congress,30.26634,-97.74378
8th/Congress,30.26978,-97.74224
11th/Congress @ The Texas Capitol,30.2726,-97.74127
Dean Keeton/Speedway,30.2896,-97.7366
2nd/Lavaca @ City Hall,30.26476,-97.74678
5th/Bowie,30.2692,-97.7535
South Congress/James,30.25103,-97.74926
South Congress/Elizabeth,30.24891,-97.75019
6th/West,30.27041,-97.75046
3rd/Trinity @ The Convention Center,30.26428,-97.74033
Plaza Saltillo,30.26217,-97.72743
East 6th/Pedernales,30.25902,-97.71479
21st/Guadalupe,30.28395,-97.74198
Guadalupe/West Mall @ University Co-op,30.28576,-97.74181
South 1st/Riverside @ Long Center,30.25941,-97.74971
3rd/West,30.2678,-97.75189
12th/San Jacinto @ State Capitol Visitors Garage,30.27336,-97.73805
8th/San Jacinto,30.26912,-97.73986
Rainey/Driskill,30.26078,-97.73808
6th/Trinity,30.26735,-97.73933
Electric Drive/Sandra Muraida Way @ Pfluger Ped Bridge,30.26702,-97.75476
Barton Springs/Bouldin @ Palmer Auditorium,30.25971,-97.75346
East 11th/Victory Grill,30.26896,-97.72843
East 11th/San Marcos,30.26968,-97.73074
South Congress/Academy,30.25222,-97.74881
8th/Red River,30.26854,-97.73646
Barton Springs Pool,30.26452,-97.77132
Zilker Park,30.2659,-97.76822
Riverside/South Lamar,30.26437,-97.75624
Rainey/Cummings,30.25579,-97.73982
Barton Springs/Kinney,30.262,-97.76118
East 6th/Robert T. Martinez,30.26032,-97.71899
East 5th/Broadway @ Capital Metro HQ,30.2563,-97.71007
East 4th/Chicon,30.25968,-97.72321
6th/Lavaca,30.26889,-97.74525
Veterans/Atlanta @ MoPac Ped Bridge,30.27449,-97.7699
4th/Guadalupe @ Republic Square,30.26727,-97.74718
South Congress/Barton Springs @ The Austin American-Statesman,30.25872,-97.74614
6th/Congress,30.26822,-97.74285
3rd/Nueces,30.26709,-97.74947
East 6th/Medina,30.26455,-97.73165
Cesar Chavez/Congress,30.26332,-97.74508
9th/Henderson,30.27217,-97.75246
Sterzing/Barton Springs,30.26406,-97.76385
Boardwalk West,30.25457,-97.74258
Lake Austin Blvd/Deep Eddy,30.27807,-97.77272
Lake Austin/Enfield,30.29439,-97.78375
4th/Sabine,30.26438,-97.73657
Dean Keeton/Whitis,30.2898,-97.74041
21st/University,30.28354,-97.73953
21st/Speedway @ PCL,30.28298,-97.73731
23rd/San Jacinto @ DKR Stadium,30.2856,-97.7335
26th/Nueces,30.29068,-97.74292
8th/Lavaca,30.27048,-97.74467
South Congress @ Bouldin Creek,30.25495,-97.74755
5th/Campbell,30.27454,-97.7645
10th/Red River,30.27018,-97.73531
Rosewood/Angelina,30.26908,-97.72429
Rosewood/Chicon,30.26976,-97.7184
11th/Salina ,30.2664,-97.72164
6th/Chalmers,30.2627,-97.7243
Hollow Creek/Barton Hills,30.26152,-97.77258
Nash Hernandez/East @ RBJ South,30.25204,-97.73459
Red River/Cesar Chavez @ The Fairmont,30.26211,-97.73875
Lakeshore/Austin Hostel,30.24468,-97.72311
Lakeshore/Pleasant Valley,30.24269,-97.7176
East 5th/Shady @ Eastside Bus Plaza,30.25212,-97.69807
16th/San Antonio,30.27924,-97.74371
22.5/Rio Grande,30.2862,-97.74516
23rd/Pearl,30.28731,-97.7465
13th/Trinity @ Waterloo Greenway,30.2741,-97.73666
One Texas Center,30.25759,-97.74898
South Congress/Mary,30.24496,-97.75127
22nd/Pearl,30.2854,-97.74673
28th/Rio Grande,30.29312,-97.74412
Rio Grande/12th,30.27594,-97.74733
Barton Springs/Riverside,30.25866,-97.74895
Dean Keeton/Park Place,30.28928,-97.733
