Station,lat,lon
Wander,46.9371912,7.4360892
Quartiergasse,46.958014,7.444949
Depotstrasse,46.9501048,7.4283779
Forsthaus KVA,46.951735,7.416496
Hauptgebäude Uni Bern,46.9506632,7.4370414
KleeplatzBollwerk,46.95189786,7.44204266
Liebefeld Bahnhof,46.93036,7.41929
Bahnhof Bümpliz Nord,46.9456501,7.3901001
Gasel BLS SwissBikePark,46.90080888,7.401061092
Zentweg,46.9555118,7.4768856
HAFL Zollikofen,46.99128454,7.467425224
Falkenplatz,46.9515508,7.4345382
Hauptsitz PubliBike,46.93874928,7.475214965
Anshelmstrasse,46.938964,7.4476281
Freies Gymnasium,46.95918183,7.435662384
Giacomettistrasse,46.9458027,7.4729321
Mittelstrasse,46.9534206,7.4328277
Technopark,46.93507927,7.389787098
Europaplatz,46.9436036,7.4071777
Schöneggweg,46.9347023,7.4420357
Waldheimstrasse,46.95123908,7.487040007
Monbijoustrasse,46.9410334,7.4359176
Kleefeld,46.9372059,7.3872274
Lorrainebrucke,46.9543451,7.4453536
Schönburg,46.9538192,7.4581813
Rosengarten Ost,46.9520639,7.4615809
SBB Poststrasse,46.956956,7.48287
Haslerstrasse,46.9450822,7.4324521
UPD Neuhaus,46.96949753,7.485804791
Marzilibad,46.9424453,7.4431193
Hochschulzentrum von Roll,46.9534366,7.4239308
INFORAMA Zollikofen,46.98836999,7.463319968
SBB Wylerpark,46.9613082,7.4466679
Marzilibahn,46.9446775,7.4432641
Stämpflistrasse,46.9432858,7.4144036
Bahnhofplatz Mobile Station Bern 4,46.94831,7.44035
Cäcilienplatz,46.94167,7.42598
Wabern Zentrum,46.92898586,7.450277591
Entsorgungshof Werkhof,46.916092,7.418571
Landoltstrasse,46.93718144,7.439397874
Fussgängerzone Bümpliz,46.941794,7.390649
Kocherpark,46.9460279,7.4332165
Engehalde,46.9566007,7.4402185
Zentrum Paul Klee,46.95099,7.4726263
Bühlstrasse Uni,46.9514853,7.4303815
Spital Tiefenau,46.974841,7.453275
Kirchbergerstrasse,46.938845,7.4210796
Stadion Wankdorf,46.96274,7.46276
Stöckacker Migros,46.944243,7.399437
Unitobler Ost,46.9545136,7.4294963
Velostation Schanzenbrücke,46.949233,7.436822
Weidmattweg,46.93658906,7.395474687
Kleine Schanze,46.9459831,7.4394178
PostAuto Engehalde,46.95752777,7.44057624
Wegmühlegässli,46.95815208,7.492620924
Friedbühlstrasse,46.94801185,7.421892556
Station während Quartierfest,46.9366583,7.4679887
Insel West,46.94653088,7.420762725
Postgasse,46.9486794,7.4532728
GVB,46.970948,7.472052
Schwabgut,46.9454695,7.3928104
Brückenstrasse BFH,46.9427163,7.4410406
Münster,46.9475304,7.4521275
Wankdorf Bhf Nord,46.9677817,7.4646494
Stauffacherplatz,46.96011625,7.454334867
Loryplatz,46.944672,7.422308
Schwabstrasse Kreisel,46.9438169,7.3955825
Jolimontstrasse,46.9415535,7.4708855
Jubiläumsplatz,46.94018066,7.4530438
Spitalacker Schulhaus,46.9558281,7.4529965
Thunplatz,46.9403,7.458608
Melchiorstrasse,46.9523752,7.3914921
Waisenhausplatz,46.9490849,7.4444363
Bierhübeli,46.9569128,7.4376583
Zollgasse,46.95812,7.48801
Egelsee,46.943536,7.463293
Köniz Zentrum,46.9229774,7.4141121
Unterzollikofen Bahnhof,46.99202429,7.45736893
Bahnhofplatz,46.9483305,7.44079
Neufeldstrasse Ost,46.9581458,7.4349895
Ziegelei Märit,46.9973113,7.458796442
Liebefeld Park,46.92962528,7.420941454
Burgfeld,46.95906857,7.47775778
Jägerweg,46.93369386,7.423407107
Bahnhof Gümligen,46.93357262,7.505070609
Monbijoubrücke,46.93965162,7.440241262
Eigerplatz Süd,46.9400198,7.4317782
Breitfeld,46.961965,7.452968
Bundesamt für Energie,46.975958,7.472646
UPD Restaurant,46.9662917,7.483182983
UPD,46.96526083,7.481022158
Fischermätteli,46.9405957,7.418738
Insel Haupteingang,46.9475569,7.4266947
Tram-Endstation,46.92775,7.453419
Egelgasse-Ostring,46.943804,7.4694264
Stauffacherstrasse,46.9662414,7.4558243
Kirche St. Antonius,46.93992,7.3950333
PostParc Velostation,46.94785633,7.436903989
Seminar,46.9427331,7.4595458
Kursaal,46.9525271,7.4498355
Casinoplatz,46.9465196,7.4481457
Nydegg,46.9486345,7.4567436
Pauluskirche Bern,46.9526864,7.4299899
Stöckacker Süd,46.94303955,7.401627774
Sattler-Gelateria,46.9547361,7.4333909
Restaurant Dählhölzli,46.93364628,7.448225745
Kapellenstrasse BFF,46.9442197,7.4366739
Predigergasse,46.9491966,7.445947
Vidmar,46.9356189,7.4165883
Beaumont,46.9371088,7.4322402
Elfenau,46.933433,7.466467
Bundesgasse,46.946604,7.441624
Seilerstrasse,46.9456022,7.434734
Sporthalle Weissenstein,46.9371056,7.4178248
Bethlehemstrasse Säge,46.9470671,7.3957642
Post IT Zollikofen,47.00268,7.44109
Merzenacker,46.94685281,7.483654625
Wankdorf Sporthalle,46.9644796,7.466948
Gurten Kulm,46.9191591,7.4383865
Markuskirche,46.9635131,7.4555218
Holenackerstrasse,46.94941743,7.381454366
Statthalterstrasse,46.9393577,7.3863865
Nationalbank,46.94688809,7.445830418
Zieglerstrasse,46.9429736,7.4302386
Ostermundigerstrasse,46.95251,7.467399
Worblaufen RBS Bahnhof,46.97940544,7.457189998
Wallgasse,46.94626,7.43804
Theaterplatz,46.9475995,7.4473498
Tellstrasse EJPD,46.9603316,7.4614522
Niederwangen Bahnhof,46.9257473,7.3770699
Steigerhubel,46.9440348,7.4120405
Hochfeldstrasse,46.95560612,7.42804209
Stapfenacker,46.9439259,7.3853056
Brünnenstrasse,46.9427868,7.3870759
Neuhausplatz,46.92903812,7.417226194
Speichergasse PROGR,46.9497908,7.4441278
Rossfeld,46.97179533,7.445761891
Schule Laubegg,46.94712765,7.46573539
Waldheim,46.9539295,7.4267524
Bahnhof Stöckacker,46.9465343,7.4004614
Tscharnergut,46.9489732,7.3882333
Egghölzli,46.93663581,7.475831166
Tellplatz,46.9618565,7.4592662
Schöngrün-Vermont,46.94612206,7.475815367
Wankdorffeldstrasse,46.965031,7.4589906
Salem-Spital,46.952701,7.454585
Sandrain,46.93135896,7.446041235
Hallenbad Hirschengraben,46.9465416,7.4356627
Wabern Bahnhof,46.92878928,7.44637882
Uni Muesmatt,46.9534004,7.4285549
Rathausgasse,46.94847162,7.450529302
Steinhölzli,46.93046,7.428167
Hallerstrasse West,46.95386,7.4365667
Waldmeisterstrasse,46.9399346,7.3825121
Museen Bernastrasse,46.941383,7.448788
Hallerstrasse,46.9524539,7.4354213
Bachmätteli,46.9394841,7.3899968
Breitenrainplatz,46.9579458,7.4537747
Mingerstrasse,46.95675,7.46789
Köniz Bahnhof,46.9250228,7.4154375
Ostermundigen Bahnhof,46.95626329,7.482893567
Breitenrainstrasse,46.957196,7.450895
Welle 7 Velostation,46.9477816,7.4365087
Neufeldstrasse,46.9565421,7.4317735
Allmendstrasse,46.9593467,7.4518043
Brunnmattschulhaus,46.9458073,7.4270475
Schenkstrasse,46.94588,7.41549
Güterstrasse,46.94764979,7.416924289
Zieglerspital,46.9320203,7.4330474
Luisenstrasse,46.942351,7.452777
Camping Eichholz,46.933129,7.455933
Thörishaus Dorf SBB SwissBikePark,46.89341481,7.351854094
Friedheimweg SECO,46.9364423,7.437876
Elfenauweg,46.939462,7.46973
Wankdorf Bhf Süd,46.9665865,7.4639627
Sonnenhofspital,46.9432034,7.4735436
Dampfzentrale,46.9406928,7.4431488
Weberstrasse,46.93987161,7.425113039
Römerweg,46.958241,7.4474859
Oberfeld,46.95611253,7.498312728
Simsonbrunnen,46.9480422,7.4502406
Viktoriaplatz,46.95518302,7.451799079
Gäbelbach,46.9477116,7.3774722
Beaumontweg,46.9390885,7.4286407
Bellevuestrasse,46.9266467,7.4359484
UniS,46.9503428,7.435298
Bahnhof ,46.9378963,7.3954739
Burgernziel,46.941479,7.466444
SBB Hilfikerstrasse,46.96845,7.46242
Unitobler West,46.9541456,7.4307168
Bahnhof Weissenbühl,46.9360173,7.4300596
Geisshubel Zollikofen,46.99996913,7.442087059
Böcklinstrasse,46.9416249,7.4631929
Ka-We-De,46.9356089,7.4471426
Junkerngasse,46.9477995,7.454056
Riedbachstrasse Park,46.9450382,7.3791687
Länggasse,46.95569922,7.42589121
Nationalbibliothek,46.9412568,7.4507099
Sanpol Bern,46.9503044,7.4145806
Wabernstrasse,46.938576,7.437862
Holenacker Station,46.9486216,7.3827534
