Station,lon,lat
Centro Comercial Andino,-74.053056,4.665944
CL 65 con KR 10,-74.0614,4.650852
Parque de Japón,-74.050483,4.669821
Carulla clle 85,-74.055579,4.670073
KR 19 con CL 85,-74.058,4.67
Parque El Virrey DEMO,-74.054406,4.672635
CL 90 con KR 13,-74.05081,4.673189
CL 86A CON KR 20,-74.06011,4.67444
KR 14 con CL 85,-74.054133,4.670068
Carrera 19c,-74.057921,4.67421
Est. Virrey,-74.058346,4.67686
DG 40A con KR 7,-74.06602,4.626199
CL 119 con KR 16,-74.045248,4.698798
Calle 91,-74.052788,4.675371
CL 93 con KR 11,-74.047819,4.674352
Clinica Azul,-74.064963,4.67942
Teatro Colsubsidio,-74.078127,4.62337
KR 13 con CL 127,-74.039473,4.703594
CL 92 con KR 30,-74.056866,4.679405
Parque El Virrey 2,-74.055,4.674
DG 92 con CL 93B,-74.054674,4.680801
AK 50 con CL 93,-74.063,4.682
Centro 93 (ACOPIO MATERIALES),-74.052,4.677
KR 9a con CL 90,-74.048,4.671
Universidad EAN,-74.055,4.663
Centro Comercial Atlantis Plaza,-74.056,4.666
Parque Vecinal El Nogal,-74.053,4.664
CL 78 con KR 12A,-74.056,4.664
Calle 86 - Carrera 10,-74.05,4.668
CL 119 con KR 15,-74.042263,4.698803
Gimnasio Moderno,-74.055,4.658
Avenida Chile,-74.057676,4.656623
KR 7 con CL 69,-74.058,4.651
Zona G,-74.055,4.649
Parque Chicó Reservado,-74.042,4.678
Calle 90,-74.049894,4.672815
Carrera 7A (NVO DISEÑO),-74.044498,4.671132
Calle 96,-74.044,4.679
CL 99 con KR 11,-74.044,4.682
Chico Plaza,-74.048861,4.683171
Galerias KR26,-74.076,4.642
Galerías - Carrera 23,-74.073,4.643
Av. Carrera 30 -Canal Arzobispo,-74.078848,4.639118
Parque Alfonso Lopez,-74.073,4.639
Calle 53 - Carrera 19,-74.071,4.641
Calle 53 - Carrera 15,-74.067,4.64
Est. Marly,-74.067,4.637
KR 13 con CL 52,-74.065,4.639
Universidad Piloto,-74.065,4.631
Belalcazar,-74.078,4.641
Canal Arzobispo,-74.075,4.634
AV CARACAS con CL 54A,-74.066146,4.642135
Est. Av. 39,-74.069,4.627
Br. Quesada,-74.069,4.639
Est. U. Nacional,-74.079032,4.63655
Calle 33a,-74.075,4.623
CL 35 con KR 17,-74.072,4.624
Transversal 17ABis con CL36,-74.073,4.626
Parque Sucre,-74.066,4.631
Carrera 13 - Calle 40C,-74.067306,4.628555
Colegio Champagnat,-74.072,4.629
Calle 47,-74.067,4.635
Av. Caracas con Diagonal 40A BIS,-74.068,4.629
CL 76 con KR 15,-74.058978,4.662693
KR 20 con CL 39b,-74.073,4.629
Carrera 45,-74.079,4.634
Calle 40A,-74.078967,4.6309
Av. Calle 26,-74.080578,4.627158
Concejo de Bogotá,-74.079,4.625
Calle 39 Bis A,-74.078,4.628
Parkway Calle 37,-74.075,4.626
Carrera 21,-74.074,4.628
Parque Brazil,-74.071912,4.627179
Parkway Calle 42,-74.075,4.632
Calle 57,-74.063,4.643
Parque de los Hippies,-74.062411,4.645468
Parque Chapinero Central,-74.061,4.648
VANTI,-74.054136,4.654069
Parque El Virrey 3,-74.056581,4.673745
Estación Calle 63,-74.065,4.648
KR 13 con CL 54,-74.065,4.641
Teatro Libre Chapinero,-74.062,4.648
Plaza de Lourdes,-74.06339,4.649964
Parque Lourdes,-74.061,4.649
Murillo Toro,-74.075,4.6
CL 78 con KR 24,-74.064,4.668
KR 10 con CL 27,-74.069746,4.613253
Museo Nacional,-74.069,4.616
CL 7 con KR 4,-74.074,4.594
Biblioteca Luis Angel Arango,-74.07338,4.597051
Alta Consejería Distrital TIC,-74.076,4.6
Eje Ambiental Av Jimenez,-74.076,4.602
