Station,lat,lon
Hoyne Ave & Balmoral Ave,41.979851,-87.681932
Damen Ave & Thomas St (Augusta Blvd),41.901315,-87.677409
63rd St Beach,41.78091096424803,-87.57632374763489
Cicero Ave & Flournoy St,41.872131,-87.746619
Exchange Ave & 79th St,41.751731,-87.552812
Wilton Ave & Diversey Pkwy,41.932418,-87.652705
Calumet Ave & 71st St,41.76550800581,-87.616917925
Loomis St & Jackson Blvd,41.877945,-87.662007
Western Ave & 24th St,41.84847,-87.685109
Lincoln Ave & Byron St,41.952372,-87.677296
Ashland Ave & Grand Ave,41.891072,-87.666611
Broadway & Thorndale Ave,41.98974251144,-87.6601406209
Talman Ave & Addison St,41.9466358306,-87.694614758
Wood St & Webster Ave,41.92105672992757,-87.67279744148254
Rush St & Cedar St,41.90230870122,-87.627690528
Lincoln Ave & Melrose St,41.9406,-87.669435
Green St & Madison St,41.881859328038225,-87.64926373958588
Richmond St & Diversey Ave,41.93190196886,-87.7011951301
Desplaines St & Randolph St,41.883703,-87.644238
Smith Park,41.892048,-87.689397
Michigan Ave & Madison St,41.882134,-87.625125
Greenview Ave & Fullerton Ave,41.92533,-87.6658
Michigan Ave & 18th St,41.857813,-87.62455
Damen Ave & 74th St,41.759274039331224,-87.67363429069519
Bennett Ave & 79th St,41.751785,-87.578496
California Ave & Lake St,41.88445395657,-87.6962981368
Southport Ave & Irving Park Rd,41.954177,-87.664358
Halsted St & 21st St,41.85377981072743,-87.6466029882431
Wolcott Ave & Polk St,41.871262,-87.673688
Indiana Ave & 26th St,41.845687,-87.622481
Cannon Dr & Fullerton Ave,41.9267559875,-87.6344287848
Honore St & Division St,41.903119,-87.673935
Monticello Ave & Irving Park Rd,41.95400483876,-87.7191281797
Ravenswood Ave & Lawrence Ave,41.96909,-87.674237
Ashland Ave & 63rd St,41.779374,-87.664843
Halsted St & 73rd St,41.76160543804394,-87.64416097666071
Marine Dr & Ainslie St,41.9716,-87.650154
Broadway & Berwyn Ave,41.978353,-87.659753
Larrabee St & Menomonee St,41.91468,-87.64332
Clark St & Touhy Ave,42.01256011541,-87.6743671152
Central Ave & Harrison St,41.872993,-87.764499
Hale Ave & 107th St,41.699206168127674,-87.66891896724701
Halsted St & 59th St,41.787539,-87.644874
Lincoln Ave & Roscoe St*,41.9433502470174,-87.67066776752472
Pulaski Rd & Lake St,41.885409,-87.726491
Halsted St & Polk St,41.87184,-87.64664
Oakley Ave & Irving Park Rd,41.95434085219,-87.6860796243
Ravenswood Ave & Irving Park Rd,41.95469,-87.67393
University Ave & 57th St,41.791478,-87.599861
Calumet Ave & 35th St,41.831379,-87.618034
Wentworth Ave & 63rd St,41.78007963264,-87.6297463052
Cottage Grove Ave & 51st St,41.803038,-87.606615
Mies van der Rohe Way & Chestnut St,41.8985866514,-87.6219152258
Campbell Ave & Fullerton Ave,41.92463247165,-87.6893070063
Kedzie Ave & 24th St,41.848193,-87.705412
MLK Jr Dr & 56th St,41.79342945658,-87.6158532619
Damen Ave & Cortland St,41.915983,-87.677335
Halsted St & 37th St,41.827059,-87.64572
Wells St & Institute Pl,41.89737986072316,-87.63442039489746
Drake Ave & Montrose Ave,41.96115407569,-87.7165690733
Clark St & Berwyn Ave,41.978030622486564,-87.66856491565704
Sheffield Ave & Wrightwood Ave,41.928712,-87.653833
Sheridan Rd & Loyola Ave,42.00104377979,-87.6611982433
Milwaukee Ave & Cuyler Ave,41.954468,-87.749594
Southport Ave & Waveland Ave,41.94815,-87.66394
Woodlawn Ave & Lake Park Ave,41.81409271048,-87.5970051479
New St & Illinois St,41.890847040623804,-87.61861681938171
Wood St & Chicago Ave,41.895634,-87.672069
Hoyne Ave & 47th St,41.808227,-87.67718
Leavitt St & Chicago Ave,41.895501,-87.682017
Racine Ave & 65th St,41.775393,-87.654308
Sheridan Rd & Lawrence Ave,41.969517,-87.654691
Clarendon Ave & Junior Ter,41.961004,-87.649603
Hegewisch Metra Station,41.64850076266409,-87.54608988761902
Ashland Ave & Lake St,41.88592,-87.66717
