Station,lat,lon
Wittener Str. / Wilhelmplatz,51.512909,7.423314
Dortmund Hauptbahnhof Nordausgang,51.519058,7.458767
Cinestar,51.519332,7.460124
Dortmund Hauptbahnhof/Bahnhofsvorplatz,51.517155,7.459931
RWE Tower,51.516726,7.461765
Kuckelke,51.516831,7.469189
Kampstr. / Freistuhl,51.515364,7.462082
Schwanenwall,51.513917,7.472624
Hansastr.,51.512609,7.463483
Bergmann Kiosk,51.513113,7.455742
Volksbank,51.513116,7.467039
Hiltropwall,51.510311,7.462237
Stadtgarten,51.510976,7.464534
Friedensplatz,51.510766,7.466873
Unionstr.,51.513069,7.448886
Westentor,51.5138,7.455865
Platz von Netanya,51.515115,7.464033
Möllerbrücke,51.507457,7.451364
Städtische Kliniken,51.508926,7.456504
Platz am Südwall,51.510041,7.46756
Stadthaus,51.508245,7.468783
Saarlandstr. / Hohe Str.,51.505213,7.459899
Karl-Liebknecht-Str.,51.498845,7.489751
Westfalenpark / Am Kaiserhain,51.498563,7.477213
Westfalenpark,51.496109,7.47012
Westfalenhalle,51.496701,7.459367
Bergmann Stehbierhalle,51.489013,7.487628
Technologiepark,51.493375,7.407124
Hauptfriedhof,51.508008,7.534432
Brackel Kirche,51.523351,7.546867
Heiligegartenstr.,51.520013,7.464502
Priorstr. / Münsterstr.,51.522256,7.464609
Borsigplatz / Oesterholzstr.,51.523951,7.481904
Geschwister-Scholl-Str.,51.518297,7.474962
Von-der-Tann-Str.,51.514104,7.496324
Berliner Str.,51.515473,7.502863
Phoenix See / Hörder Burg,51.491234,7.503458
Markgrafenstr.,51.501944,7.472903
Gerichtsplatz,51.516234,7.477398
Polizeipräsidium,51.500725,7.459819
Hainallee / Südbad,51.506312,7.470531
Hörde Bahnhof,51.488371,7.499097
Kreuzstraße,51.502318,7.450029
Jugendhotel ,51.517569,7.46477
Max-Ophüls-Platz,51.498334,7.452995
Ritterhausstr.,51.509343,7.446789
Dortmund West/S-Bahnhof,51.508769,7.440255
Vinckeplatz,51.503293,7.455822
Otto-Hahn-Str.,51.489327,7.405724
Germania/S-Bahnhof,51.497984,7.361505
Lütgendortmund / Bus-Bahnhof,51.499106,7.334661
Oespel S-Bahnhof,51.488163,7.3841
Heiliger Weg / Kronprinzenstr.,51.510782,7.474034
Kuithanstr.,51.500675,7.440834
Phönix West,51.485852,7.481278
Steigenberger Hotel / Berswordtstr.,51.499039,7.451472
Märkische Str. / B1,51.500702,7.483363
Körne West/S-Bahnhof,51.510726,7.50363
Voßkuhle,51.503343,7.49767
Kronenburg,51.504422,7.475982
Am Kaiserbrunnen,51.512993,7.483154
Nortkirchenstraße/Wilo,51.481871,7.480912
Rombergpark,51.484343,7.469968
Spar- und Bauverein Uhlandblock,51.529535,7.453988
TU Dortmund Emil-Figge-Straße 50,51.493966,7.418008
TU Dortmund Hörsaalgebäude 2,51.492296,7.41273
TU Dortmund Seminarraumgebäude 1,51.491721,7.409468
Barop S-Bahnhof,51.476488,7.431135
An der Palmweide,51.490505,7.438352
Am Beilstück,51.486747,7.43575
Barop Parkhaus,51.482359,7.432326
Hombruch Marktplatz,51.476038,7.439691
FH-Dortmund Sonnenstraße,51.506613,7.455587
FH-Dortmund Emil-Figge-Straße 42,51.493695,7.420396
Rüschebrinkstrasse,51.520987,7.520378
Nordmarkt,51.525941,7.464775
Immermannstr./Klinikzentrum,51.532685,7.454631
Schützenstrasse,51.524135,7.452732
Hafen,51.524228,7.444455
Marten S-Bahnhof,51.508876,7.389598
Dorstfeld Süd S-Bahnhof,51.501927,7.419553
Am Gardenkamp,51.481319,7.41486
Ostenberg,51.488465,7.424811
Baroper Strasse,51.482251,7.410021
Meitnerweg,51.488709,7.41236
Emil-Figge-Strasse 9,51.492947,7.430127
Campus Süd H-Bahn,51.484757,7.413089
Sunderweg,51.522319,7.443575
Brünninghausen,51.479054,7.458944
Zinkhütte,51.519639,7.493953
Amazon Logistics DTM2,51.528457,7.50231
Spar- und Bauverein Unionviertel,51.510739,7.443023
Spar- und Bauverein Althoffblock,51.507006,7.445501
Amazon Logistik Westfalenhütte GmbH DTM3,51.533162,7.505851
Speicherstrasse,51.528903,7.446783
Bibliothek Sebrathweg 5,51.493328,7.393402
