Station,lat,lon
Johannes Schrantstraat,51.0538571,3.7016084
Watt the factory,51.0566235,3.7007879
Gelukstraat 27,51.0587906,3.7285286
Strandlaan 26,51.0447825,3.6871504
P+R WEBA/Decathlon,51.0741012,3.7440595
Campo Santo Plein,51.0646176,3.7484391
Verlorenkost 11,51.0464758,3.721487
Fjordenstraat,51.0691143,3.7387751
Victor Braeckmanlaan 180,51.0601714,3.7607947
Campinglaan 14,51.0463735,3.6808789
Station Dampoort,51.0566121,3.74037
Zwijnaardsesteenweg 439 ,51.0263776,3.7219716
Karel van Hulthemstraat 36,51.0441471,3.7230422
Dronkey,51.0391223,3.7261586
Kalvermarkt,51.0555936,3.7317376
Geraard Mercatorstraat 28,51.063655,3.7272622
Neringstraat 2,51.0545013,3.7444318
Recollettenlei 16,51.0499184,3.7195842
Krijgslaan 163,51.0315026,3.7204142
Korte Meer,51.0504691,3.722482
Tweekerkenstraat,51.0426564,3.7274674
MSK - Museum voor Schone Kunsten,51.0374978,3.7239026
Driesstraat 1a,51.0388358,3.7410998
Grote Huidevettershoek 1,51.0493163,3.7269116
Nieuwewandeling 18,51.0556142,3.7073491
Neuseplein,51.0670694,3.727598
Gordunakaai 1,51.042648,3.7104159
KAA Gent Stadion,51.0147138,3.7343618
Hoveniersstraat 15,51.0373771,3.7426545
Groot-Brittanniëlaan 147,51.043432,3.7119298
Justus De Harduwijnlaan 3,51.066559,3.7285682
Rozemarijnstraat 2,51.0504521,3.7096885
Meulesteedsesteenweg 438/498,51.084941,3.7274245
Jan van Stopenberghestraat 2,51.0535493,3.7212226
Van Den Heckestraat 7,51.0369233,3.7444712
Tentoonstellingslaan 128,51.0385755,3.730624
2de Gent-Sint-Pietersstation Noord,51.0370561,3.7102414
P+R Muide,51.0734858,3.7338635
Woodrow Wilsonplein,51.0483397,3.7309618
Acaciastraat 12b,51.0608856,3.6999198
Bij Sint-Jozef 30,51.0630376,3.7101848
Predikherenlei ,51.0526566,3.7209716
Savaanstraat 47,51.0489781,3.726748
3de Gent-Sint-Pietersstation Noord,51.0364314,3.7130812
KASK,51.0455266,3.7186354
Dok-Noord 31,51.0700658,3.7303195
Druifstraat 6,51.0626144,3.6932442
Patrijsstraat 12,51.0743508,3.7324745
Doornzelestraat 70,51.0642562,3.7324628
Vrijdagsmarkt ,51.0573906,3.7252658
Plantentuin ,51.0364097,3.7222842
Gent-Sint-Pietersstation Zuid,51.0347452,3.7089006
Dronkey 2,51.0407704,3.7256633
Batterijstraat 31,51.0600721,3.7050422
Oostakker hub,51.0993927,3.7648492
Wolterslaan 160,51.0476303,3.7511836
FilmFest KASKCinema,51.045314,3.7145362
P+R Ledeberg,51.0365714,3.7386892
Pieter de Keyserestraat,51.0538131,3.7335358
Muinkkaai 34,51.0449481,3.728668
UZGent verzamelplaats,51.0249992,3.7228879
resto,51.0704647,3.7124978
Nieuwpoort 31,51.0561403,3.7300175
Ganzendries,51.0623076,3.6916594
Vaartstraat 2/110,51.0706364,3.6930576
Groentenmarkt ,51.0557623,3.722004
UGent Campus Dunant,51.0488106,3.7038527
Ankerslaan 19,51.0384054,3.7498162
Blandijnberg 2,51.0440229,3.7251746
Hogeschool Gent,51.0283331,3.7062271
Coupure Links 323,51.0490795,3.7116894
Ossenstraat 2,51.0529075,3.7387522
Wasstraat 116,51.0560957,3.7444236
Belfortstraat 18,51.0553011,3.726792
XIOR Student Housing ,51.0343421,3.7042949
Pannenkoekenhuis,51.052252,3.7232608
Antwerpenplein 1 ,51.0577765,3.7412685
Bijloke site,51.0440697,3.7186644
Underground Artevelde Hogeschool The Platform,51.0294254,3.721627
Gouvernementstraat 34,51.0506548,3.7263568
Goudenleeuwplein 1,51.0539409,3.7251371
Vlaanderenstraat 3,51.0514117,3.7286276
Hembysebolwerk,51.05695,3.7074666
Voormuide 41,51.0684882,3.7294424
Sint-Michielsplein 16,51.0538692,3.7189684
Bij Sint-Jacobs 3F,51.0565567,3.7265888
Koningin Fabiolalaan 76,51.0388912,3.701733
Wittemolenstraat 40,51.0565756,3.7495297
Gouvernementstraat,51.0522882,3.7271215
Centrumplein 76,51.0356267,3.7405906
Victoriastraat 9,51.0354645,3.7240804
Knokkestraat 56,51.0377781,3.7122689
Sint-Michielsbrug (bovenaan parkeren),51.053937,3.7211362
Voldersstraat 72,51.0525333,3.7229279
Braemstraat 65,51.0337271,3.7630913
Hogent Mercator,51.0434313,3.7140364
Maurice de Weerdstraat 9,51.0463248,3.716357
Kortrijksepoortstraat,51.0438426,3.7215985
Arbedpark,51.0453548,3.7533871
Groendreef 133,51.0655317,3.6993996
Wazenaarstraat 3,51.0407726,3.7447574
Kunstlaan 1,51.0412335,3.7252314
Portugalstraat 13,51.0579847,3.704422
Filips van Marnixstraat 75,51.0402522,3.7189144
Onderstraat 21a,51.056168,3.7245457
Kozijntjesstraat 1,51.0527592,3.7334048
Krijgslaan 100,51.0334311,3.72049
Raveschootstraat,51.0410138,3.7335682
Oscar Colbrandtstraat 153,51.0566492,3.7573754
Diksmuidestraat 52,51.0312607,3.7226933
Leiestraat 3,51.0568008,3.7039706
Filips van Arteveldestraat,51.0505419,3.7349825
