Station,lat,lon
(GDL-001) C. Epigmenio Glez./ Av. 16 de Sept.,20.666378,-103.34882
(GDL-002) C. Colonias  / Av.  Niños héroes,20.667228,-103.366
(GDL-003) C. Vidrio / Av. Chapultepec,20.66769,-103.368252
(GDL-004) C. Ghilardi /C. Miraflores,20.69175,-103.36255
(GDL-005) C. San Diego /Calzada Independencia,20.6811575,-103.339363
(GDL-006) C. Venustiano Carranza /C. Reforma,20.680717,-103.344415
(GDL-007) C. Epigmenio Glez./Av. Cristobal C.,20.666771,-103.350562
(GDL-008) C. J. Angulo / C. González Ortega,20.681871,-103.350396
(GDL-009) Calz. Federalismo/ C. J. Angulo,20.681984,-103.353835
(GDL-010) C. Cruz verde / C. Joaquin Angulo,20.6818519,-103.3573381
(GDL-011) C. Garibaldi / C. Frías,20.681081,-103.360099
(GDL-012) C. Joaquín Angulo / C. Ghilardi,20.6820683,-103.3629218
(GDL-013) C. Vidrio  / C. Marsella,20.667623,-103.370499
(GDL-014) C. J. Angulo/C José Clemente Orozco,20.6821447,-103.3659297
(GDL-015) C. Herrera y Cairo /C. Pedro Buzeta,20.683191,-103.369349
(GDL-016) C. Bernardo de Balbuena/C J. Angulo,20.682007,-103.372642
(GDL-017) Av. México /C. Bernardo de Balbuena,20.679086,-103.372841
(GDL-018) Av. México / C. Manuel M. Diéguez,20.679296,-103.370658
(GDL-019)  C. Juan Manuel / C. Andrés Terán,20.678835,-103.368045
(GDL-021) C. Nicolás Romero / C. Reforma,20.67966,-103.362224
(GDL-022) C. San Felipe /C Enrique D. de León,20.679389,-103.35913
(GDL-023) C. Jesús / C. San Felipe,20.679309,-103.356281
(GDL-024) Av.  Federalismo / C. Juan Manuel,20.678777,-103.354035
(GDL-025) C. Reforma / C. González Ortega,20.680227,-103.350146
(GDL-026) C. Pedro Loza / C. Reforma,20.680478,-103.348377
(GDL-027) C. Belén / C. San Felipe,20.679861,-103.345198
(GDL-028) C. Gregorio Dávila /C. Manuel Acuña,20.6840145,-103.3612673
(GDL-029) Calz. Indep. /C. Juan Manuel,20.679899,-103.339438
(GDL-030) C. Pedro Moreno/ C. Progreso,20.675461,-103.367501
(GDL-031) C. Hospital / C. Andrés Terán,20.685652,-103.368215
(GDL-032) C. Degollado / Av. Hidalgo,20.6772627,-103.344908
(GDL-033) Av. Hidalgo / C. Pedro Loza,20.677419,-103.347983
(GDL-034) C. Morelos / C. Donato Guerra,20.676461,-103.350244
(GDL-035) C. Mezquitán / Av. Hidalgo,20.677315,-103.3534145
(GDL-036) C. Marcos Castellanos/ C. Morelos,20.676078,-103.356458
(GDL-037) C.Juan N. Cumplido /C. Independenci,20.678034,-103.358466
(GDL-038) C. Nicolás Romero / Av. Hidalgo,20.676656,-103.362331
(GDL-039) C. General Coronado / Av. Hidalgo,20.677108,-103.365088
(GDL-040) C. Morelos / C. Progreso,20.676067,-103.367049
(GDL-041) C. Manuel M. Diéguez / Av. Hidalgo,20.67671,-103.37066
(GDL-042) C. Bernardo de Balbuena /Av Hidalgo,20.676628,-103.372687
(GDL-043) C. Simón Bolivar / C. López Cotilla,20.673756,-103.372613
(GDL-044) C. Gral. San Martín /Av.  Vallarta,20.674636,-103.371639
(GDL-045) C. Pedro Moreno / C. Marsella,20.675444,-103.370147
