Station,lat,lon
001.広島駅北口第一駐輪場 / Hiroshima Station North,34.397856,132.4780248
002.広島駅南口第三駐輪場 / Hiroshima Station South,34.3978925,132.4716639
003.エールエールA館（東側） / Yale Yale East side,34.3961275,132.4742121
004.ぴーすくる運営事務所 / Peacecle Office,34.3953058,132.4726054
005.広島港宇品旅客ターミナル / Hiroshima Port,34.3525022,132.4556136
006.比治山公園 / Hijiyama Park,34.3871989,132.4742563
007.広島城 / Hiroshima Castle,34.3998656,132.4584708
008.旧市民球場跡地 / Former Hiroshima Municipal Baseball Stadium,34.3961386,132.4550356
009.平和記念公園 / Hiroshima Peace Memorial Park,34.3911122,132.4528737
010.NTTクレド基町ビル / NTT Credo Motomachi Building,34.3963577,132.4573852
011.富士見第三駐輪場 / Fujimi Park,34.3888108,132.4608111
012.東新天地駐輪場 / Higashi Shintenchi Park,34.3908438,132.4633048
013.小町第三駐輪場 / Komachi Park,34.3885021,132.4595263
014.NTTクレド白島ビル / NTT Credo Hakushima Building,34.4050574,132.4648739
015.フジグラン広島 / Fuji Grand Hiroshima,34.3865976,132.4640407
016.グランドプリンスホテル広島 / Grand Prince Hotel Hiroshima,34.3433935,132.4638295
017.ルネサンス広島ボールパークタウン / Renaissance Hiroshima Ball Park Town,34.3902694,132.485771
018.広島マリーナホップ / Hiroshima Marina Hop,34.3606278,132.4138128
019.グランアークテラス / GRAN ARC TERRACE,34.3985,132.4782
020.広島段原ショッピングセンター / Hiroshima Danbara Shopping Center,34.3858641,132.4756202
021.ユアーズ幟町店前 / YOURS Noborimachi,34.3955863,132.4656246
022.NTT上八丁堀ビル(護国神社前) / NTT Kamihacyobori Building（Gokoku Shrine）,34.400736,132.4615283
"023.ホテルマイステイズ広島 平和公園前 / HOTEL MYSTAYS Hiroshima Peace Park
",34.3897022,132.4540526
"024.セブン-イレブン広島南千田西店 / Seven-Eleven Hiroshima Minamisendanishi Store
",34.373592,132.455847
025.広島県立美術館 / Hiroshima Prefectural Art Museum,34.3997815,132.4663397
026.イオン宇品ショッピングセンター / AEON Ujina Shopping Mall,34.3626546,132.4691963
027.ホテルチューリッヒ東方2001 / Hotel Zurich Toho 2001,34.401324,132.4793699
028.お好み焼きハウスあかとんぼ / Okonomi House Akatonbo,34.3842787,132.4604671
029.東横イン広島駅南口右 / Toyoko INN Hiroshima-eki Minami-guchi Migi,34.3967605,132.4684158
030.西広島駅南駐輪場 / Nishi-hiroshima Station South Parking,34.39736,132.42786
031.FAV HOTEL 広島スタジアム / FAV HOTEL HIROSHIMA STADIUM,34.39308,132.48042
032.MEGAドンキ・ホーテ宇品店 / MEGA Don Quijote Ujina,34.3636325,132.4587098
033.ひろしま国際ホテル / Hiroshima Kokusai Hotel,34.393704,132.459654
034.ホテル広島ガーデンパレス / Hiroshima Garden Palace,34.3982,132.4805
035.もみじ銀行 本店 / Momiji Bank Headquarters,34.39305,132.46663
036.フジ三篠店 / Fuji Misasa Store,34.410703,132.453299
"037.セブン-イレブン広島出汐4丁目店 / Seven-Eleven Hiroshima Deshio 4-Chome Store
",34.377844,132.478722
038.相鉄フレッサイン 広島駅前 / Sotetsu Fresa Inn Hiroshima,34.39511,132.47669
039.広島ＪＰビルディング / HIROSHIMA JP BUILDING,34.39775,132.47377
040.クラップス / Craps,34.402052,132.443758
"041.ひろぎんホールディングス本社ビル / HIROGIN HOLDINGS Head Office Bldg.
",34.39388,132.45807
042.新牛田公園 / Shin-Ushita Park ,34.41683,132.46499
043.ekieエキキタパーク / ekie Ekikita Park,34.39933,132.4773
044.ローソン三川町店 / LAWSON Hiroshima Mikawacho store,34.389197,132.461882
045.ローソン広島東白島店 / LAWSON Hiroshima store,34.406257,132.4633
046.広島ダイヤモンドホテル / Hiroshima Diamond Hotel,34.378839,132.425369
"047.スーパーホテル広島天然温泉・薬研堀通り / Super Hotel Hiroshima Natural Hot Springs Yagenboridori
",34.38906,132.46391
048.県民文化センター / Prefectural Citizen's Culture Center,34.394368,132.455941
049.ローソン己斐本町店 / LAWSON Koihonmachi store,34.392971,132.424594
050.CLiP HIROSHIMA,34.382687,132.459338
"051.広島三井ビル / Hiroshima Mitsui Bldg.
",34.391686,132.456174
052.広島市役所 / Hiroshima City Hall,34.3850699,132.4546317
053.市営稲荷町C駐輪場 / Inarimachi C Cycle Port,34.39114,132.470991
054.むさし土橋店 / Musashi Dobashi store,34.395939,132.445788
"055.広島国際会議場 / International Conference Center Hiroshima
",34.391774,132.451
056.MRRデルタビル / MRR DELTA Bldg.,34.387657,132.455868
057.セブン-イレブン広島西白島町店 / Seven-Eleven Hiroshima Nishihakushimacho Store,34.407527,132.460788
"058.饒津神社 / Nigitsu Shrine
",34.403655,132.469548
059.GRANODE広島 / GRANODE HIROSHIMA,34.400452,132.4746855
"060.JMSアステールプラザ / JMS ASTER PLAZA
",34.387362,132.448596
061.広島市文化交流会館（北側） / Hiroshima City BUNKA KORYU KAIKAN(North Side),34.389328,132.449144
062.広島市文化交流会館（南側） / Hiroshima City BUNKA KORYU KAIKAN(South Side),34.388217,132.448586
063.吉島病院 / Yoshijima Hospital,34.36858,132.45136
"064.ファミリーマート舟入南四丁目店 / FamilyMart Funairiminami 4 Chome
",34.37783,132.438643
"065.ドコモショップ舟入店 / docomo shop Funairi
",34.385159,132.442607
"066.ホテルニューまつお横 / HOTEL NEW MATSUO side
",34.3991,132.4735
067.広島港宇品旅客ターミナル（海側）/ Hiroshima Port (sea side),34.352505,132.454553
"068.ファミリーマート己斐本町二丁目店 / FamilyMart Koihonmachi 2-chome shop
",34.394964,132.42656
"069.ファミリーマート吉島西一丁目店 / FamilyMart Yoshijimanishi 1-chome shop
",34.373754,132.44789
"070.ファミリーマート吉島西二丁目店 / FamilyMart Yoshijimanishi 2-chome shop
",34.373182,132.445762
"071.ファミリーマート広島天満町店 / FamilyMart Hiroshima Tenmacho shop
",34.397138,132.44087
"072.ファミリーマート中広三丁目店 / FamilyMart Nakahiro 3-chome shop
",34.405431,132.444614
"073.ファミリーマート出汐町南店 / FamilyMart Deshiocho minami shop
",34.3724245,132.4748891
"074.広島トヨペット株式会社 観音店
 / HIROSHIMA TOYOPET Kannon shop",34.393785,132.442096
075.ファミリーマート広島段原東店 / FamilyMart Hiroshima Danbara Higashi,34.38657,132.48032
076.基町駐車場 / Motomachi Parking,34.394894,132.461306
"077.ファミリーマート大芝二丁目店/
FamilyMart Oshiba 2 Chome",34.42029,132.46012
078.ファミリーマート 広島観音店 / FamilyMart Hiroshima Kannon shop,34.3949229,132.4375116
"079.ファミリーマート南観音二丁目店 / FamilyMart Minamikannon 2-chome shop
",34.3851049,132.431597
"080.ファミリーマート 広島観音新町店 / FamilyMart Hiroshima Kannon Shinmachi shop
",34.374738,132.423616
"081.ファミリーマート 南観音一丁目店 / FamilyMart Minamikannon １-chome shop
",34.3834701,132.434918
"082.ファミリーマート 東観音町店 / FamilyMart Higashikannon shop
",34.3901442,132.4398488
083.FAV HOTEL 広島平和大通り / FAV HOTEL HIROSHIMA HEIWAODORI,34.38862,132.46669
"084.ファミリーマート曙町四丁目店 / FamilyMart Akebonocho 4-chome shop
",34.3946133,132.4907968
"085.マックスバリュ千田店 / Max Valu Senda store
",34.3769,132.4588
"086.ファミリーマート吉島町店/ FamilyMart Yoshijimacho
",34.37991,132.44875
"087.三井不動産ロジスティクスパーク広島Ⅰ / Mitsui Fudosan Logistics Park HIROSHIMAⅠ
",34.3715,132.421
"088.ホテルプロモート広島 / HOTEL PROMOTE HIROSHIMA
",34.393607,132.444605
"089.セブン-イレブン広島矢賀新町4丁目店 / Seven-Eleven Hiroshima Yagashinmachi 4-Chome Store
",34.392094,132.497985
090.セブン-イレブン広島皆実6丁目店 / Seven-Eleven Hiroshima Minami 6-Chome Store,34.373945,132.464148
091.東区役所 / Higashi Ward Office,34.395384,132.48186
092.セブン-イレブン広島西川口町店 / Seven-Eleven Hiroshima Nishikawaguchi-machi Store,34.381942,132.439616
093.セブン-イレブン広島広瀬町店 / Seven-Eleven Hiroshima Hirosecho Store,34.399442,132.447477
"094.セブン-イレブン広島東霞町店 / Seven-Eleven Hiroshima Higashikasumicho Store
",34.378503,132.482678
"095.セブン-イレブン広島東雲本町3丁目店 / Seven-Eleven Hiroshima Shinonomehonmachi 3-chome Store
",34.379337,132.486739
