Station,lat,lon
Landesgericht,47.26254,11.392157
Bozner Platz,47.264812,11.397178
Congress / Hofburg,47.268754,11.395462
Dr. Glatz-Straße,47.262631,11.412842
Hauptbahnhof,47.263381,11.399882
Höttinger Au /West,47.264589,11.374937
Anichstraße / Klinik,47.263745,11.388209
Maria-Theresien-Straße,47.264916,11.394763
Pacherstaße,47.260749,11.409412
Mühlauer Brücke,47.278834,11.403916
Leipziger Platz,47.264537,11.406609
Sillpark,47.266097,11.403015
Westbahnhof,47.255885,11.39169
Rossaugasse,47.273034,11.429842
AMS-Geschäftsstelle,47.25945,11.393339
Studentenhaus,47.261721,11.383606
Kletterzentrum / Sillside,47.276885,11.414586
Schöpfstraße / Klinik,47.260307,11.387271
Bachlechnerstr. / MED-EL,47.263097,11.37483
Stubaitalbahnhof,47.253926,11.39757
Universität,47.263788,11.386207
SOWI/MCI,47.269249,11.399135
General-Eccher-Straße,47.277315,11.416799
Technik,47.265157,11.344585
UNI-Sportstätten,47.257789,11.357546
Adolf-Pichler-Platz,47.266228,11.392082
Philippine-Welser-Straße,47.258688,11.425567
Austria Trend Hotel,47.27449,11.397193
Technikerhaus,47.261349,11.379588
Fürstenweg,47.265849,11.382582
Mariahilfpark,47.267898,11.387577
Waltherpark,47.270665,11.391644
Langstraße,47.265132,11.413363
TWI Technologiezentrum,47.265525,11.435286
Dr. Stumpf-Straße,47.256696,11.373858
Claudiaplatz,47.275797,11.405576
Mitterweg,47.258067,11.370598
Marktplatz,47.267371,11.391144
Kaiserschützenplatz,47.258677,11.396711
Josef-Kerschbaumer-Straße,47.272365,11.443521
Vögelebichl,47.264109,11.362696
Triumphpforte/ Casino,47.262635,11.396309
Chemieinstitut,47.260745,11.381139
Messe Bahnhof,47.272503,11.406169
Schutzengelkirche,47.265714,11.416436
Hegnerstraße,47.271174,11.422804
Maximilianstraße,47.261961,11.38793
Innerkoflerstraße,47.261772,11.384497
