Station,lat,lon
Mongevon,46.54873,6.57476
Cèdres,46.530961547725724,6.570954143053104
Dufour,46.50737,6.495352
Station fermée! Grand-Rive,46.512991,6.614122
Cerisaie,46.52864,6.566695
Oassis,46.55095610567505,6.57306649851556
Beausobre,46.51569970026471,6.499234489270572
Saint-François,46.51966972197189,6.632556563027347
CHUV Cery,46.547024950077954,6.607627798721679
Station fermée! Gare de Pully nord,46.514863230694175,6.658812113086054
"Avenue de la Gare, TX Group SA",46.517009,6.635237
EPFL Innovation Park,46.517153,6.561272
Croset,46.532879,6.566487
Sicpa,46.53125489706996,6.601886023564116
Café de Chavannes,46.5275155987152,6.5727380643235245
SEVELIN.CH,46.52285180329474,6.616691677562492
Baumettes,46.544314905605354,6.586897691005923
Station fermée! Chauderon,46.523333,6.625402
Longemalle,46.52804418,6.59119606
Croisettes-Biopôle,46.543261033642686,6.661545646440144
Lausanne Gare CFF Nord,46.51729603169255,6.630497103216617
Quartier nord,46.5224054,6.5655126
Parc de Valency,46.52877795845398,6.614257776560184
Sorge,46.521043,6.573253
Rivier,46.521978,6.564896
Station fermée! Riponne,46.523858,6.6329296
Place du Marché,46.537813,6.581462
Station fermée! Paudex,46.5058,6.6711
Colladon,46.518108,6.564945
Tour Haldimand - TetraLaval TetraPak,46.505009,6.641321
Ours,46.52112812235608,6.64036369203716
CHUV,46.52654734920485,6.64111195901793
Vaudoise Assurances,46.514554,6.619263
Station fermée! Halte de Malley,46.526347,6.603215
Prilly-Centre,46.534129,6.606292
Mouline,46.526079,6.579268
Saint-Sulpice-centre,46.510153,6.558052
Place Alan Turing,46.518951,6.562162
Unil Centre,46.521668,6.581345
Denens village,46.5183879308213,6.4569022616279925
Eglantine,46.51196729119777,6.4849846482546685
Chailly,46.52689212107495,6.651725094510788
Centre Sportif UNIL EPFL,46.519805,6.579676
Temple,46.510562,6.499863
Gare de Renens,46.5367962297447,6.57834071739537
Station fermée! Siège du CIO,46.517338,6.59775
Piccard,46.520723,6.568276
Dorigny,46.522591,6.584961
Station fermée! Gare de Pully sud,46.51061054877812,6.659367730704223
Place de l’Europe,46.520469823395864,6.630836110862832
Sablon,46.510581,6.496026
Chocolaterie,46.53439438272029,6.5780125706014605
"Epalinges, Croix-Blanche",46.547872289288286,6.671632436126663
Forel,46.520202,6.571784
Station fermée! Ouchy,46.506896,6.626253
Medtronic,46.50225151684113,6.48110823288
Préverenges,46.5175143,6.5261484
Lausanne Gare CFF Sud,46.515862,6.630461
Vallaire,46.51649685275541,6.550408183414197
Starling Esplanade,46.51673942261787,6.566454652605652
Gracieuse,46.51856,6.50736
Moulin,46.511048,6.492569
Casino,46.508486,6.499667
Piscine de Fleur-de-Lys,46.54405624882997,6.6034499977507615
Qoqa Bike2work,46.54644014068801,6.54913196924048
