Station,lat,lon
b'281 - HUB Criativo do Beato Nascente',38.731578,-9.105308
b'511 - Avenida do Uruguai',38.753789,-9.196294
b'104 - Gare do Oriente',38.766716,-9.097322
b'442 - Campo Pequeno',38.743371,-9.14523
b'309 - Rua da Palma',38.71901,-9.13577
b'443 - Av. de Roma / F\xc3\xb3rum Lisboa',38.74351,-9.13866
b'483 - Rua Professor Francisco Lucas Pires ',38.75939,-9.16405
b'478 - Alameda da Universidade / Faculdade de Letras',38.75359,-9.15717
b'315 - Rua Passos Manuel/ Jardim Constantino',38.731264,-9.136968
b'105 - CC Vasco da Gama',38.768548,-9.096222
b'450 - Rua Alfredo Cort\xc3\xaas',38.74626,-9.14399
b'225 - Martim Moniz',38.71526,-9.13694
b'218 - Cais do Sodr\xc3\xa9',38.70617,-9.14471
b'480 - Faculdade de Ci\xc3\xaancias',38.75587,-9.15503
b'551 - Rua Francisco Stromp / Alameda das Linhas de',38.762584,-9.157235
b'130 - Avenida Berlim / Rua Am\xc3\xa9rico Jesus Fernandes',38.767761,-9.106858
b'553 - Rua Luis Pastor de Macedo / Rua Tobis Portuguesa',38.767114,-9.15535
b'502 - Rua S\xc3\xa3o Domingos de Benfica / Rua Francisco Gentil Martins',38.741406,-9.176365
b'101 - Alameda dos Oceanos / Rua dos Argonautas',38.756161,-9.096804
b'407 - Pra\xc3\xa7a Duque de Saldanha',38.73434,-9.14446
b'410 - Rua da Mesquita / Universidade Nova de Lisboa',38.73492,-9.16015
b'113 - Alameda dos Oceanos/ Passeio do Levante',38.78414,-9.09825
b'550 - Rua Fernando Curado Ribeiro / Alameda das Li',38.760871,-9.156487
b'311 - Avenida Almirante Reis N\xc2\xba14',38.721721,-9.135295
b'365 - Rua Castilho / Rua Marqu\xc3\xaas da Fronteira',38.729724,-9.157531
b'503 - Rua Conde de Almoster / Rua Carlos Pereira',38.74266,-9.178764
b'103 - Jardim da \xc3\x81gua',38.761218,-9.095019
b'490 - Rua Fernando Namora / Azinhaga da Torre do Fato',38.76026,-9.17849
b'476 - Av. Professor Gama Pinto / Reitoria',38.75231,-9.15885
b'137 - Rua Cidade de Bissau (entrada SPACIO)',38.762829,-9.114505
b'314 - Rua Marques da Silva / Rua Ant\xc3\xb3nio Pedro',38.729657,-9.135675
b'221 - Rua do Crucifixo / Rua S\xc3\xa3o Nicolau',38.710191,-9.138828
b'510 - Largo da Revista Militar / Avenida do Col\xc3\xa9gio Militar',38.752892,-9.189058
b'517 - Rua Padre Am\xc3\xa9rico',38.763505,-9.180437
b'507 - Rua Jos\xc3\xa9 dos Santos Pereira / Rua Conde de Almoster',38.744727,-9.193024
b'209 - Ribeira das Naus',38.705954,-9.141466
b'108 - Rua do Bojador',38.774289,-9.09235
b'216 - Pra\xc3\xa7a D. Lu\xc3\xads I',38.70663,-9.14655
b'556 - Alamedas das Linhas de Torres / Estrada da T',38.773489,-9.161462
b'352 - Rua Tom\xc3\xa1s da Anuncia\xc3\xa7\xc3\xa3o / Rua Almeida e S.',38.717313,-9.165653
b'521 - Rua C\xc3\xa9sar de Oliveira / Rua Fernando Lopes Gra\xc3\xa7a',38.769044,-9.17386
b'280 - HUB Criativo do Beato Poente',38.729739,-9.106709
b'430 - Av. Barbosa Du Bocage / Rua Arco do Cego',38.74081,-9.14329
b'417 - Av. Duque de \xc3\x81vila / Jardim Arco Do Cego',38.735352,-9.142703
b'456 - Entrecampos / Av. das For\xc3\xa7as Armadas',38.74877,-9.14872
b'435 - Interface de Sete Rios',38.740579,-9.166955
b'485 - Rua Tom\xc3\xa1s da Fonseca / Rua Ant\xc3\xb3nio Albino Machado',38.756,-9.17
b'475 - Av. Professor Gama Pinto / Cantina Velha',38.75115,-9.15907
b'506 - Rua Tenente Coronel Reibeiro dos Reis/Rua Conde de Almoster',38.745181,-9.190028
b'304 - Avenida da Liberdade / S\xc3\xa3o Jorge',38.72026,-9.14637
b'479 - Rua Professor Oliveira Marques',38.75491,-9.15724
b'437 - Avenida Columbano Bordalo Pinheiro / Rua de Campolide',38.739427,-9.166589
b'114 - Via do Oriente',38.78836,-9.09974
b'133 - Rua Cidade de Benguela / Avenida Cidade de L',38.76503,-9.110724
b'102 - Porta do Mar',38.759156,-9.096439
b'106 - Jardim Garcia da Orta',38.769459,-9.092506
b'486 - Rua Hermano Neves / Rua Jos\xc3\xa9 Escada',38.75954,-9.16985
b'224 - Martim Moniz',38.71498,-9.13651
b'107 - Rotunda dos Vice-Reis',38.774505,-9.095416
b'212 - Av. Infante Dom Henrique / Terminal de Cruzeiros',38.71035,-9.12769
b'462 - Campo Grande / Biblioteca Nacional',38.75027,-9.15031
b'316 - Rua Ant\xc3\xb3nio Pedro / Rua Pascoal de Melo',38.731424,-9.135356
b'110 - Rua de Moscavide',38.778466,-9.097068
b'452 - Rua Teixeira de Pascoais / Rua Dr. Gama Barros',38.747751,-9.136681
b'214 - Largo de Santos',38.70673,-9.15424
b'301 - Avenida da Liberdade / Restauradores',38.71702,-9.14242
b'457 - Rua Aboim Ascens\xc3\xa3o',38.74975,-9.14722
b'208 - Cais das Pombas',38.70523,-9.14373
b'134 - Pra\xc3\xa7a Cidade do Luso',38.765588,-9.116342
b'481 - Campo Grande / Museu da Cidade',38.758207,-9.156169
b'205 - Av. Bras\xc3\xadlia / Cordoaria',38.697,-9.188
b'132 - Avenida de Berlim / Rua Cidade de Cabinda',38.76829,-9.11255
b'464 - Av. da Igreja / Rua Afonso Lopes Vieira',38.75165,-9.148427
b'203 - Padr\xc3\xa3o dos Descobrimentos',38.6935,-9.20633
b'131 - Avenida de Berlim / Pra\xc3\xa7a Baden Powell',38.768137,-9.110767
b'414 - Av. Duque de \xc3\x81vila / Rua Pinheiro Chagas',38.735,-9.151
b'213 - Av. Infante Dom Henrique / Santa Apol\xc3\xb3nia',38.713416,-9.122548
b'554 - Alameda das Linhas de Torres / Rua Ladislau',38.768683,-9.158298
b'468 - Largo Frei Heitor Pinto',38.75482,-9.13827
b'223 - Pra\xc3\xa7a do Rossio',38.713112,-9.138952
b'310 - Rua Pina Manique / Largo do Intendente ',38.720733,-9.134847
b'109 - Alameda dos Oceanos / Rua Ilha dos Amores',38.777548,-9.094686
b'431 - Rua do Arco Cego / Av. Magalh\xc3\xa3es Lima',38.73937,-9.14199
b'220 - Rua do Comercio',38.70878,-9.137125
b'412 - Av. Ressano Garcia / Av. Ant\xc3\xb3nio Augusto de Aguiar',38.73448,-9.1546
b'226 - Rua dos Fanqueiros',38.711888,-9.136456
b'426 - Av. Elias Garcia / Av. 5 de Outubro',38.739046,-9.14793
b'139 - Rua Cidade de Bissau (Metro Olivais)',38.76134,-9.111596
b'449 - Av. 5 de Outubro / Rua da Cruz Vermelha',38.746836,-9.150085
b'313 - Rua Frei Francisco Foreiro / Rua de Arroios',38.728049,-9.135956
b'509 - Centro Comercial Fonte Nova',38.748901,-9.190007
b'460 - Av. Rio de Janeiro / Parque de Jogos 1\xc2\xba de Maio',38.75176,-9.13749
b'472 - Rua Marqu\xc3\xaas Soveral / ES Padre Ant\xc3\xb3nio Vieira',38.75784,-9.13608
b'415 - Av. Duque de \xc3\x81vila / Av. Conde Valbom',38.735188,-9.148443
b'413 - Av. Ressano Garcia / Av. Ant\xc3\xb3nio Augusto de Aguiar',38.73432,-9.15425
b'453 - Av. Roma / Av. EUA',38.74873,-9.14207
b'473 - Av. do Brasil / Av. de Roma',38.75643,-9.14697
b'459 - Rua Maria Am\xc3\xa1lia Vaz de Carvalho / ES Rainha D. Leonor',38.751481,-9.141741
b'423 - Av. Conde Valbom / Rua Marqu\xc3\xaas S\xc3\xa1 da Bandeira',38.737911,-9.152295
b'474 - Av. do Brasil / Av. Rio de Janeiro',38.75832,-9.1409
b'463 - Campo Grande / Av. da Igreja',38.75243,-9.14951
b'408 - Pra\xc3\xa7a Duque de Saldanha',38.733749,-9.144117
b'406 - Pra\xc3\xa7a Duque de Saldanha',38.734247,-9.145341
b'428 - Av. Rep\xc3\xbablica / Avenida Barbosa Du Bocage',38.74047,-9.14684
b'427 - Av. Rep\xc3\xbablica / Av. Visconde Valmor',38.73812,-9.14617
b'446 - Av. Rep\xc3\xbablica / Interface Entrecampos ',38.74456,-9.14773
b'403 - Av. Fontes Pereira de Melo',38.731698,-9.146522
b'416 - Av. Rep\xc3\xbablica / Avenida Duque de \xc3\x81vila',38.735304,-9.14553
b'471 - Rua Lopes de Mendon\xc3\xa7a / EB S\xc3\xa3o Jo\xc3\xa3o de Brito',38.756487,-9.137337
b'115 - Passeio dos Her\xc3\xb3is do Mar / Rua Capit\xc3\xa3o Cook',38.793,-9.09781
b'421 - Alameda D. Afonso Henriques',38.73736,-9.13416
b'420 - Av. Rovisco Pais / Av. Manuel da Maia',38.73617,-9.13672
b'484 - Rua Professor Vieira de Almeida',38.76081,-9.16658
b'219 - Pra\xc3\xa7a do Munic\xc3\xadpio',38.70797,-9.13951
b'305 - Avenida da Liberdade / Rua Barata Salgueiro',38.72228,-9.147
b'306 - Avenida da Liberdade / Rua Alexandre Herculano',38.72281,-9.14854
b'487 - Rua Professor Jo\xc3\xa3o Barreira',38.76136,-9.17096
b'488 - Rua Fernando Namora / Rua Ant\xc3\xb3nio Quadros',38.76014,-9.17526
b'307 - Marqu\xc3\xaas de Pombal',38.724954,-9.149334
b'308 - Marqu\xc3\xaas de Pombal',38.7246,-9.14969
b'419 - Av. Ant\xc3\xb3nio Jos\xc3\xa9 de Almeida / Instituto Superior T\xc3\xa9cnico',38.73811,-9.13956
b'432 - Pra\xc3\xa7a de Londres',38.7407,-9.1377
b'401 - Rua Martens Ferr\xc3\xa3o / Av. Fontes Pereira de Melo',38.72894,-9.14742
b'433 - Av. Paris / Av. Almirante Reis',38.74095,-9.13409
b'112 - Alameda dos Oceanos / Passeio das Gar\xc3\xa7as',38.78069,-9.09622
b'206 - Av. Bras\xc3\xadlia / Doca de Alc\xc3\xa2ntara',38.70141,-9.17502
b'461 - Rua Professora Teresa Ambr\xc3\xb3sio',38.749141,-9.155564
b'477 - Alameda da Universidade / Faculdade de Direito',38.75264,-9.15671
b'552 - Alameda das Linhas de Torres / Hospital Puli',38.766075,-9.157335
b'555 - Alameda das Linhas de Torres',38.770657,-9.160248
b'151 - Rua Contra Almirante Ferraz / Escola Sec.Ant\xc3\xb3nio Dam\xc3\xa1sio',38.770434,-9.108728
b'366 - Palacio da justi\xc3\xa7a',38.731134,-9.156435
b'312 - Rua \xc3\x81lvaro Coutinho / Avenida Almirante Reis',38.724869,-9.134802
b'361 - Amoreiras Shopping Center',38.72392,-9.160992
b'362 - Avenida Eng. Duarte Pacheco',38.72437,-9.159469
b'508 - Esta\xc3\xa7\xc3\xa3o de Comboios de Benfica',38.74473,-9.200039
b'518 - Avenida das Na\xc3\xa7\xc3\xb5es Unidas / Azinhaga da Torre do Fato',38.764097,-9.177955
b'238 - Rua de Cascais / Alc\xc3\xa2ntara Mar',38.702936,-9.175234
b'364 -Rua D.francisco M. de melo / Rua artilharia 1',38.728263,-9.159369
b'363 - Rua de campolide / Rua marques da fronteira',38.727094,-9.162216
b'519 - Rua Prof. Pulido Valente / Rua Prof. M\xc3\xa1rio ',38.763204,-9.1691
b'520 - Lispolis',38.766995,-9.182513
b'237 - Avenida da India / Praca das Industrias',38.699093,-9.182262
b'436 - Instituto Portugu\xc3\xaas de Oncologia',38.739395,-9.162447
b'215 - Av. 24 de Julho',38.70662,-9.14949
b'513 - Rua Guiomar Torres\xc3\xa3o/Metro de Carnide',38.758691,-9.19216
b'222 - Pra\xc3\xa7a da Figueira',38.71383,-9.13828
b'211 - Doca da Marinha',38.707751,-9.132463
b'150 - Avenida Dr. Francisco Luis Gomes / Go Fit',38.769665,-9.111745
b'516 - Rua Professor Carlos Teixeira / Rua Professor Sim\xc3\xb5es Raposo',38.76217,-9.174872
b'135 - Avenida Cidade de Louren\xc3\xa7o Marques / Vale do',38.764067,-9.118689
b'514 - Avenida do Colegio Militar / Rua Adelaide Cabete',38.75736,-9.185588
