Station,,lat,lon
"Jubilee Gardens, South Bank",,51.504636,-0.116542
"Shoreditch Park, Hoxton",,51.534042,-0.086379
"Chadwell Street, Angel",,51.530515,-0.106408
"Clifton Road, Maida Vale",,51.525575,-0.179592
"Houghton Street, Strand",,51.51362,-0.116764
"Westminster University, Marylebone",,51.522481,-0.154907
"Kensington Gore, Knightsbridge",,51.501432,-0.178656
"Bourne Street, Belgravia",,51.490959,-0.153233
"Broadwick Street, Soho",,51.513684,-0.13558
"Princes Square, Bayswater",,51.513489,-0.191351
"LSBU (Borough Road), Elephant & Castle",,51.498744,-0.103132
"St. Mary Axe, Aldgate",,51.514225,-0.08066
"Tysoe Street, Clerkenwell",,51.526443,-0.109256
"Southwick Street, Paddington",,51.515953,-0.169249
"Queen's Gate (North), Kensington",,51.501026,-0.180246
"Regency Street, Westminster",,51.49206,-0.132224
"Belgrave Road, Victoria",,51.493204,-0.144132
"Empire Square, The Borough",,51.500823,-0.08974
"Kennington Lane Rail Bridge, Vauxhall",,51.486343,-0.122492
"London Zoo,  The Regent's Park",,51.535836,-0.156285
"Baylis Road, Waterloo",,51.501444,-0.110699
"Belvedere Road 1, South Bank",,51.506133,-0.114686
"Warwick Road, Olympia",,51.496712,-0.205284
"Barbican Centre, Barbican",,51.520044,-0.092176
"Lower Thames Street, Monument",,51.509301,-0.084985
"Kensington Church Street, Kensington",,51.503157,-0.191496
"Tooley Street, Bermondsey",,51.503493,-0.07962
"North Wharf Road, Paddington",,51.518622,-0.176645
"Royal Avenue 2, Chelsea",,51.490083,-0.162418
"Smith Square, Westminster",,51.495805,-0.127575
"Royal London Hospital, Whitechapel",,51.518675,-0.06111
"Kingsway, Covent Garden",,51.514409,-0.118478
"Lambeth North Station, Waterloo",,51.49914,-0.112031
"St. John's Wood Road, St. John's Wood",,51.527294,-0.174653
"Bedford Way, Bloomsbury",,51.523673,-0.128377
"Elizabeth Bridge, Victoria",,51.492369,-0.147478
"South Audley Street, Mayfair",,51.50923,-0.151296
"St Mary's Hospital, Paddington",,51.518268,-0.171103
"Claverton Street, Pimlico",,51.484839,-0.138089
"Montpelier Street, Knightsbridge",,51.498884,-0.165471
"Kensington Olympia Station, Olympia",,51.498157,-0.209494
"St. George's Square, Pimlico",,51.488226,-0.135635
"Swan Street, The Borough",,51.500296,-0.092762
"Knaresborough Place, Earl's Court",,51.493631,-0.190603
"Geraldine Street, Elephant & Castle",,51.496127,-0.106
"Curlew Street, Shad Thames",,51.502279,-0.074189
"Vincent Square, Westminster",,51.493985,-0.136928
