Station,lat,lon
7th & Flower,34.0485,-118.25854
Olive & 8th,34.04554,-118.25667
5th & Grand,34.05048,-118.25459
Figueroa & 9th,34.04661,-118.26273
11th & Maple,34.03705,-118.25487
Figueroa & Pico,34.04113,-118.26798
Union Station West Portal,34.05661,-118.23721
Los Angeles & Temple,34.0529,-118.24156
Grand & Olympic,34.04373,-118.26014
12th & Hill,34.03861,-118.26086
Hill & Washington,34.03105,-118.26709
3rd & Santa Fe,34.04607,-118.23309
Hope & 1st,34.05772,-118.24897
Grand & Washington,34.03286,-118.26808
Figueroa & Cesar Chavez,34.06318,-118.24588
Spring & 3rd,34.04998,-118.24716
Grand & Temple,34.05832,-118.24609
Main & 1st,34.05194,-118.24353
7th & Spring,34.0447,-118.25244
Hope & 6th,34.04989,-118.25588
Main & 9th,34.04099,-118.2558
Hope & 11th,34.04206,-118.26338
Figueroa & 8th,34.0484,-118.26095
Willow St & Mateo St,34.03919,-118.23253
Imperial & 7th,34.0348,-118.23128
Wilshire & Witmer,34.05357,-118.26636
1st & Central,34.0493,-118.23881
18th & San Pedro,34.02851,-118.25667
2nd & Hill,34.05287,-118.24749
Pico & Flower,34.03998,-118.2664
5th & Hewitt,34.04169,-118.23535
2nd & Figueroa,34.05697,-118.25359
7th & Bixel,34.0511,-118.26456
Factory Place & Alameda,34.03922,-118.23649
Grand & 14th,34.03746,-118.26538
Industrial St & Mateo St,34.0358,-118.23317
3rd & San Pedro,34.04775,-118.24317
Pershing Square,34.04804,-118.25374
Grand & 8th,34.04613,-118.25759
New High & Ord,34.06056,-118.23833
Spring & College,34.06339,-118.23616
Grand & 3rd,34.0532,-118.25095
Broadway & 3rd,34.05088,-118.24825
Hope & Olympic,34.04417,-118.26117
Broadway & 9th,34.04211,-118.25619
9th & Los Angeles,34.0406,-118.25384
8th & Wall,34.03987,-118.25004
Hill & College,34.06428,-118.23894
Temple & Vignes,34.05014,-118.23319
Stanford & 12th,34.03189,-118.25018
Traction & Rose,34.04652,-118.23741
Abbot Kinney & Cadiz,33.99116,-118.46829
Washington & Abbot Kinney,33.98842,-118.45163
Venice & Lincoln,33.99377,-118.45367
California & Lincoln,33.99834,-118.46101
Rose & 7th,34.00088,-118.46891
Rose & Rennie,33.99868,-118.47298
Rose & Main,33.99624,-118.47745
Ocean Front Walk & North Venice,33.98434,-118.47155
Pacific & North Venice,33.98493,-118.46996
Windward & Main,33.98813,-118.47174
7th & Westminster,33.99537,-118.4648
Ocean Front Walk & Navy,33.99556,-118.48155
Downtown Santa Monica E Line Station,34.01431,-118.49134
17th St / SMC E Line Station,34.02339,-118.47964
Broadway & 11th,34.04031,-118.25827
Park & Echo Park,34.07483,-118.25873
Grand / LATTC,34.0298,-118.27031
University & Hoover,34.02404,-118.28341
32nd & Figueroa,34.02371,-118.27917
25th & Vermont,34.03364,-118.29131
29th & Ellendale,34.02835,-118.28867
Figueroa & McCarthy Way,34.0203,-118.28118
Severance & Adams,34.03017,-118.28095
Hoover & 29th,34.02868,-118.28411
Seabluff & Runway,33.97366,-118.42286
28th & Figueroa,34.02629,-118.27769
28th & University,34.02762,-118.28068
Hoover & 32nd,34.02586,-118.2841
Expo Park/LAFC,34.01252,-118.2859
Westlake & 3rd,34.06228,-118.27152
Union & Olympic,34.04887,-118.2743
Maubert & Vermont,34.09905,-118.2915
Vermont Pl & Vermont ,34.09249,-118.29144
Sunset & Virgil,34.09801,-118.28707
Shatto Pl & Wilshire,34.06258,-118.29009
8th & Vermont,34.05765,-118.29218
7th & Berendo,34.05969,-118.29466
4th & Vermont,34.06699,-118.29088
Westlake/MacArthur Park Station,34.05681,-118.275
7th & Park View,34.05771,-118.27976
Union & 7th,34.05403,-118.27092
Row DTLA,34.03352,-118.24184
