Station,lat,lon
Muzzano Industria,46.000482,8.912639
Davesco,46.037002,8.979558
Pedrinate,45.82606824,9.013036785
Ecocentro Pregassona,46.029052,8.969857
CSIA,46.018784,8.962014
Besazio Nucleo,45.87264624,8.953349055
Mendrisio La Filanda,45.86959229,8.989624366
Arzo Scuole,45.87483787,8.937745152
Castel S. Pietro alle Zocche,45.85500513,9.002221444
Cassarate Via del Tiglio,46.008146,8.969007
Novazzano Centro Paese,45.841265,8.98136
Montagnola Piazza Brocchi,45.982056,8.918121
Piazza Manzoni,46.0036519,8.9529036
Via Ciani,46.021942,8.962901
Piaza du Buteghin,46.088134,8.915069
Fornaci,45.984764,8.932378
Parco Ciani,46.005806,8.957374
Melide,45.953905,8.949715
Mendrisio Museo,45.87254294,8.987224328
Magliaso FLP,45.982042,8.883593
San Siro,46.015758,8.971604
Mendrisio Cantine,45.87595169,8.987138816
Via Ceresio,46.01876,8.96429
Casa Serena,46.014127,8.959087
"Vacallo, Piazza Municipio",45.8474329,9.0342084
Stabio Via Arca,45.85527,8.93759
Manno Parco Giova,46.032852,8.921806
Casserina,45.994723,8.943257
Besso,46.00627672,8.94272889
Mezzovico Piazza Vira,46.09704185,8.92232437
Pregassona,46.02398,8.968292
Stabio Stazione FFS,45.849794,8.944964
Piscina Valgersa,46.016072,8.941042
Piazzale Filanda,45.92241761,8.985989292
Centro Giovanile,46.009397,8.931591
Campo Marzio,46.005849,8.961709
Balerna Stazione FFS,45.84700376,9.005261995
Stabio via Mulino,45.848177,8.936794
Riva San Vitale - Posteggio Piazzale a Lago,45.90587982,8.972694429
Caslano Piazza Lago,45.970318,8.88374
Bigogno - Campo sportivo,45.972202,8.915525
Morbio Municipio,45.85200343,9.016464562
Cornèr Arena - HC Lugano,46.025237,8.963681
Caslano FLP,45.977309,8.875447
Barbengo,45.958424,8.917052
Lanchetta,46.006076,8.966775
Piazza Mercato/Contrada di Verla,46.005707,8.95184
Via Ginevra,46.0082843,8.9512745
Ligornetto Nucleo,45.8614498,8.954692504
Balerna Ossario,45.84973748,9.008044185
Castel S. Pietro Posta,45.86162834,9.008982084
Morcote,45.9242,8.9192
Brusino Arsizio – Debarcadero,45.92991044,8.938161233
ColdreBike,45.856501,8.988615
Massagno,46.012555,8.943487
Via Beltramina,46.0166117,8.9596513
Mendrisio CPI,45.87216326,8.983528791
"Sorengo, via Ponte Tresa",45.99879214,8.939378732
Via Crocetta,46.0159412,8.9668282
Mendrisio Stazione FFS,45.86839597,8.978069548
Stabio Via Luvee,45.854907,8.943853
FFS Mezzovico-Vira,46.094684,8.928136
Via Dei Faggi,46.0090116,8.9638054
Chiasso Soldini,45.83472077,9.018201343
via Maraini,45.999094,8.945139
Centro Lugano Sud,45.973369,8.927351
Chiasso Municipio,45.83510207,9.027882228
Molinazzo,46.012749,8.914699
Seseglio,45.83031984,8.996931082
Arte e Cultura LAC,45.998453,8.94848
Stabio Via Segeno,45.858612,8.940146
Manno Centro di Calcolo,46.022676,8.917196
Piazza Molino Nuovo,46.012252,8.955118
Via Loco,46.020198,8.97169
Mendrisio Piscine,45.88354716,8.980175415
Tesserete,46.065999,8.966679
Quartiere 9,46.020826,8.964896
Comano Centro Prospò,46.03702,8.954823
Gentilino,45.991069,8.936421
Paradiso Stazione FFS,45.989126,8.946661
Bissone,45.95289,8.965247
Stazione FFS,46.004469,8.947096
Rancate Nucleo,45.87153897,8.968208418
Mendrisio Municipio,45.87125167,8.986754872
Foce,46.003948,8.961542
Chiasso Stazione FFS,45.83239013,9.033756126
Stadio,46.023159,8.959919
Chiasso Piscine,45.838047,9.026857
Mendrisio Centro,45.87023343,8.987408596
Paradiso Centro,45.991081,8.943799
Viganello,46.0121344,8.9657021
Via Vignola,46.016524,8.955876
Salorino Nucleo,45.87199654,8.994334187
Cappella-Agnuzzo FLP,45.993326,8.924532
Muzzano paese,45.998476,8.923755
Capolago Stazione FFS,45.903314,8.979073
Lambertenghi,46.008095,8.957432
Mendrisio Comparto Scuole,45.86245058,8.980687512
USI,46.0105808,8.95794
Quartiere di Meride,45.890055,8.950718
Bioggio Via Industria,46.020356,8.916114
Genestrerio Nucleo,45.85480875,8.96080186
Morbio Serfontana,45.845724,9.014909
Stabio - Gaggiolo,45.841894,8.916675
Lamone - Cadempino FFS,46.040345,8.932433
Porza Sant'Elena,46.027895,8.954881
Mendrisio Ospedale,45.86687923,8.983606565
IBSA,45.97765,8.926757
Scuole Via Franscini,45.844602,9.030907
Mendrisio Mercato Coperto,45.86552128,8.977682352
Cureglia,46.038841,8.946213
Ospedale Civico,46.01839065,8.952667135
Maroggia Stazione,45.9327981,8.973029363
Incrocio via Torraccia - via Cereda,45.84024834,8.997598436
Montanstahl Via Gerette,45.844533,8.926253
Campus Est,46.011494,8.961011
Ospedale Italiano di Lugano,46.009713,8.96008
Mendrisio Fox Town,45.87620293,8.981280464
Sorengo Parco Sportivo,46.001154,8.934162
