Station,lat,lon
Tourist-Information / Zentralstrasse 5,47.049467,8.309569
Hotel Radisson / Inseliquai 12 ,47.048604,8.314081
Jugendherberge / Sedelstrasse 12,47.061729,8.301415
Verkehrshaus / Lidostrasse,47.052969,8.33504
Bahnhof Littau,47.052895,8.256982
Inseliquai 1 / Frohburgstrasse,47.049829,8.313271
Ufschötti / Alpenquai,47.046541,8.317938
Pilatusstrasse 1,47.049847,8.308829
Pilatusstrasse 8 / Seidenhofstrasse,47.049686,8.307724
Vögeligärtli / Morgartenstrasse,47.048879,8.308228
Lukaskirche / Morgartenstrasse 16,47.047734,8.309221
Bundesplatz / Zentralstrasse 1,47.045841,8.309425
Habsburgerstrasse 26,47.046696,8.306694
Obergrundstrasse / Moosstrasse,47.04583,8.304226
Paulusplatz / Obergrundstrasse,47.042427,8.302821
Neustadtstrasse 44,47.041345,8.307767
Luzerner Theater / Hirschengraben,47.050595,8.30571
Kasernenplatz / Naturmuseum,47.051792,8.300648
Pilatusplatz / Pilatusstrasse 46,47.047771,8.303325
Werkhofstrasse 20,47.04439,8.314438
CSS / Tribschenstrasse 21,47.043428,8.314118
Schönbühlcenter / Langensandstrasse 23,47.037228,8.327342
Allmend / Horwerstrasse 85,47.033799,8.303186
Hauptpost / Bahnhofstrasse 1,47.050885,8.309054
Ruopigenplatz 1,47.062752,8.273832
Busschleife 1er / Maihofstrasse,47.067228,8.314912
Schlossberg / Maihofstrasse,47.061808,8.308666
St.Karlistrasse 3,47.053864,8.299237
Kantonsspital Personalhaus 2 / Spitalstrasse,47.057552,8.296695
Bruchstrasse 20,47.050521,8.299581
Mühleplatz,47.052011,8.303432
Grendel,47.053575,8.308341
Matthäuskirche / Seehofstrasse,47.054361,8.309011
Bourbaki / Löwenplatz,47.057089,8.310996
Strandbad Lido,47.051053,8.336316
Markuskirche / Haldenstrasse 31,47.055172,8.316532
ewl / Industriestrasse 6,47.041506,8.310969
Migros / Schädrütistrasse,47.05431,8.339481
Eichhof / Obergrundstrasse,47.040577,8.301415
Bundesplatz / Moosstrasse,47.045424,8.307644
Kantonalbank / Pilatusstrasse 12,47.049178,8.306597
Nationalquai / Seebad,47.054887,8.31849
Bruchstrasse 4,47.051335,8.298749
Stadtverwaltung / Winkelriedstrasse 14,47.048724,8.305093
Kurplatz / Haldenstrasse 1,47.054726,8.313528
Schwanenplatz,47.052724,8.308523
Löwenplatz / Zürichstrasse 12,47.057149,8.310348
Südpol / Arsenalstrasse 28,47.033674,8.297328
Churchill Quai / Seeburgstrasse,47.047479,8.342936
Eisfeldstrasse 3,47.04118,8.320486
Schüür / Güterstrasse,47.044832,8.310942
Bleicherstrasse 10,47.042644,8.306399
Brünigstrasse 25,47.042244,8.31054
Neubad / Bireggstrasse 36,47.041316,8.307503
KKL / Bahnhofplatz,47.050158,8.311442
MaiHof / Weggismattstrasse,47.06294,8.308821
Landenbergstrasse 36,47.046071,8.316634
Spitalstrasse 93,47.056162,8.293416
Lindenstrasse,47.059949,8.285773
Alpenquai 42,47.044328,8.321307
Pauluskirche / Moosmattstrasse 4 ,47.042022,8.303312
Klosterstrasse 12A,47.049069,8.299958
Neustadtstrasse 10,47.044187,8.308512
Zihlmattweg 29,47.033108,8.307965
Messe Allmend / Horwerstrasse,47.035231,8.30295
Hallenbad Allmend / Zihlmattweg 46,47.031239,8.304393
Nordpol / Reusszopfweg,47.065025,8.284587
Reussfähre / Sentimattstrasse 10,47.054825,8.293578
Warteggstrasse 5,47.039747,8.324654
Franziskanerplatz,47.050081,8.303803
Schulhaus Säli / Bruchstrasse,47.046832,8.302864
Molki / Reussbühl,47.065701,8.282018
CKW /Reussbühl,47.065481,8.280333
Lötscher Plus Gruppe,47.04969,8.234108
Sentimatt / Dammstrasse,47.053371,8.296341
Velostation / Bahnhof Luzern,47.048846,8.311742
Himmelreich 3 / Claridenstrasse,47.043776,8.305262
XUND / Spitalstrasse,47.058458,8.29957
Geissenstein EGB / Waldweg 1,47.037952,8.315792
Bahnhof Rothenburg / Station Ost,47.08846,8.249375
VBL / Tribschengasse,47.042796,8.316361
Hirslanden Klinik St. Anna / Rigistrasse,47.057851,8.326381
Grossmatte Ost 10,47.048645,8.267314
Weinbergli abl,47.041202,8.317203
Hermitage / Seeburgstrasse,47.04303,8.350537
Wäsmeli-Träff / Abendweg,47.060683,8.315288
Littau Grenzhof / Luzernerstrasse,47.05189,8.278858
Luzerner Kantonsspital Hauptgebäude / Spitalstrasse,47.058684,8.297027
