Station,lat,lon
Miguel Moya,40.4205886,-3.7058415
Plaza Conde Suchil,40.4302937,-3.7069171
Malasaña,40.4285524,-3.7025875
Fuencarral,40.42852,-3.70205
Colegio Arquitectos,40.424148,-3.698447
Hortaleza,40.4251906,-3.6977715
Alonso Martínez,40.4278682,-3.6954403
Plaza de San Miguel,40.4156057,-3.7095084
Marqués de la Ensenada,40.42533,-3.69214
San Andrés,40.4269483,-3.7035918
San Hermenegildo,40.4284246,-3.7061931
Conde Duque,40.4273264,-3.7104417
Ventura Rodríguez,40.4260957,-3.713479
San Vicente Ferrer,40.4262383,-3.7074453
San Bernardo,40.4230721,-3.7075065
Carlos Cambronero,40.4232649,-3.7038312
Plaza de Pedro Zerolo,40.4207773,-3.6996502
Banco de España A,40.4192342,-3.6954615
Jacometrezo,40.4200783,-3.7065376
Santo Domingo,40.4202834,-3.7081246
Palacio de Oriente,40.417908,-3.710692
Plaza de Celenque A,40.4173703,-3.7057791
Plaza de Celenque B,40.4172781,-3.7063837
Plaza de las Salesas,40.423855,-3.694475
Huertas,40.4132798,-3.6956178
Sevilla,40.4181518,-3.6984368
Marqués de Cubas,40.4162619,-3.6957355
San Quintín,40.4192095,-3.711504
Calle Mayor,40.4163638,-3.7068969
Plaza de la Provincia,40.4150099,-3.7061032
Carretas,40.4165039,-3.7030833
Jacinto Benavente,40.4146755,-3.7036825
Plaza del Cordón,40.4141931,-3.7103285
Plaza Ramales,40.4168,-3.71183
Plaza de San Francisco,40.4108,-3.714113
Plaza de los Carros,40.4114041,-3.7114762
Plaza de la Cebada,40.4112744,-3.7088337
Conde de Romanones,40.4138846,-3.7049407
Antón Martín,40.4122047,-3.6991147
Santa Isabel,40.4107085,-3.6982318
Jesús y María,40.4101564,-3.7025024
Plaza de Nelson Mandela,40.4097617,-3.7040666
Puerta de Toledo,40.4070358,-3.7110513
Ribera de Curtidores,40.4053153,-3.7071259
Embajadores 1,40.4047851,-3.7028265
Embajadores 2,40.4056107,-3.7022591
Casa Encendida,40.4060941,-3.6992759
Museo Reina Sofía,40.4083684,-3.6933463
Ronda de Atocha,40.4075606,-3.6935205
Plaza de Santa Ana,40.4144226,-3.7007164
Plaza de Lavapiés,40.4083061,-3.7007111
Barceló,40.4266828,-3.700423
Plaza de San Ildefonso,40.4239757,-3.7020842
Plaza del Carmen ,40.4184192,-3.7032414
Santa Cruz del Marcenado,40.4295658,-3.7126299
Augusto Figueroa,40.4222862,-3.697895
Plaza de Juan Pujol,40.4255495,-3.7043418
Plaza de la Independencia,40.419752,-3.688398
Narváez,40.4213983,-3.6752045
O'Donnell,40.4213148,-3.6724968
Ibiza,40.4179237,-3.6708959
Antonio Maura,40.4166834,-3.6894193
Almadén,40.4108472,-3.693225
Espalter,40.4128372,-3.6912023
Puerta del Ángel Caído,40.409808,-3.688822
Doce de Octubre,40.4159569,-3.6738865
Sainz de Baranda,40.4157413,-3.6691838
Plaza de los Astros,40.4114475,-3.6689089
Puerta de Mariano de Cavia,40.4071304,-3.6751352
Pedro Bosch,40.400789,-3.6744
Cuesta de Moyano,40.409297,-3.691987
