Station,lat,lon
Henry St & Bay St,40.6725058,-74.00494695
Longfellow Ave & Aldus St,40.82319448542357,-73.88762910982096
E 138 St & Park Ave,40.81263616769319,-73.92924964427948
W 47 St & 6 Ave,40.758397,-73.98255
W 100 St & Broadway,40.7973721,-73.97041192
Greenwich Ave & Charles St,40.735238,-74.000271
Alexander Ave & E 134 St,40.807466,-73.927107
Eastern Pkwy & Troy Ave,40.66929,-73.93679
Sedgwick Ave & Hall of Fame Tce,40.859532,-73.913303
56 Dr & 61 St,40.72368,-73.90458
61 St & Borden Ave,40.72558,-73.90417
Hart St & Wyckoff Ave,40.704876,-73.919911
8 Ave & W 33 St,40.751551,-73.993934
Stanton St & Norfolk St,40.720747,-73.986274
Rogers Ave & Snyder Ave,40.64871,-73.95218
W 26 St & 10 Ave,40.749717753,-74.002950346
Melrose Ave & E 150 St,40.816827,-73.917338
E New York Ave & Troy Ave,40.66227,-73.93762
Central Ave & Starr Street,40.700003,-73.92834
Adam Clayton Powell Blvd & W 126 St,40.809495347779475,-73.94776493310928
6 Ave & Walker St,40.7197920901383,-74.0052238852195
New York Ave & Snyder Ave,40.64868,-73.94635
Carroll St & Utica Ave,40.66619,-73.93162
4 Ave & E 12 St,40.732647,-73.99011
37 Ave & 35 St,40.7531106,-73.9279917
34th Ave & Vernon Blvd,40.76535380385866,-73.93986314535141
W 35 St & Dyer Ave,40.754691750226016,-73.99740189313889
Marcy Ave & Lafayette Ave,40.6900815,-73.947915
6 St & 7 Ave,40.6686627,-73.97988067
Central Ave & Flushing Ave,40.702831,-73.9333
41 Ave & 67 St,40.74446,-73.89764
Duane St & Hudson St,40.71703,-74.00925
Park Pl & Buffalo Ave,40.67202,-73.92539
Pacific St & Sackman St,40.67522,-73.9061
Matthews Ct & Coney Island Ave,40.64235,-73.96951
Myrtle Ave & 65 St,40.70117,-73.8904
3 St & Prospect Park West,40.668132,-73.97363831
Lexington Ave & E 24 St,40.74025878,-73.98409214
E 14 St & Avenue B,40.72938685,-73.97772429
Madison St & Seneca Ave,40.70183,-73.90625
Thomas S. Boyland St & Macon St,40.68491,-73.91493
W 148 St & Amsterdam Ave,40.827075,-73.945909
19 St & 24 Ave,40.7774552,-73.9225403
E 147 St & Bergen Ave,40.814673,-73.91839
