Station,lat,lon
CE-407  Prolongación Xochicalco-General Emiliano Zapata,19.367209,-99.15872
CE-428  Prolongación Uxmal-Av. Popocatépetl (Eje 8),19.363404,-99.160395
CE-427 Avenida México-Coyoacán-Av. Popocatépetl (Eje,19.364912,-99.162968
CE-443 Bruno Traven-Golondrinas,19.359583,-99.162085
CE-423 Moras-José María Rico (Eje 8),19.367816,-99.175269
CE-438 Adolfo Prieto-José María Olloqui,19.36473,-99.174447
CE-415 San Francisco-Parroquia,19.37099,-99.176135
CE-417 Goya-Augusto Rodin,19.373198,-99.184274
CE-022 Reforma - Manchester,19.424784,-99.172119
CE-094 Lic. Verdad-Moneda,19.433766,-99.130918
CE-405 División Del Norte-Municipio Libre,19.3705556,-99.1566667
CE-375 Tenayuca-División Del Norte,19.376997,-99.158779
CE-394 Dr. Roberto Gayol-Félix Cuevas,19.372474,-99.171639
CE-337 San Borja-Martín Mendalde,19.384849,-99.16704
CE-412 Parroquia-Avenida Universidad,19.368107,-99.164376
CE-381 San Lorenzo-Manzanas,19.375543381100602,-99.17801052342838
CE-332 Calle 27-Avenida 3,19.385494,-99.183744
CE-399 Heriberto Frías-San Lorenzo,19.372469,-99.164538
CE-377 Heriberto Frías-Miguel Laurent,19.375397,-99.163778
CE-360 Heriberto Frías-Matias Romero,19.379435,-99.162794
CE-362 Augusto Rodin-Alberto Balderas,19.382109,-99.181056
CE-365 Holbein-Avenida Revolución,19.381123,-99.18667
CE-424 Amores-José María Rico (Eje 8),19.36715,-99.17055
CE-421 María Luz Bringas-Oso,19.36952,-99.179421
CE-287 13 de Septiembre-Puente de la Morena,19.398946,-99.183254
CE-288 11 de Abril-Avenida 2,19.396359,-99.183579
CE-372 Dr. Roberto Gayol-Tlacoquemécatl,19.377966,-99.170272
CE-434 Jose María Olloqui-Amores,19.363741,-99.171268
CE-439 Amores-Avenida Coyoacán,19.362037,-99.172683
CE-378 Miguel Laurent-Amores,19.375865,-99.168219
CE-437 Moras-Comunal,19.364916,-99.175985
CE-374 Pitágoras-Pilares,19.376918,-99.16108
CE-384 Empresa-Poussin,19.375865,-99.185573
CE-348 Indiana-Avenida San Antonio,19.38542,-99.17823
CE-397 San Lorenzo-Gabriel Mancera,19.37313576931919,-99.16706666355822
CE-353 Carolina-Holbein,19.38213,-99.178814
CE-387 Cadiz-Empresa,19.374267,-99.180546
CE-367 Boston -Augusto Rodin,19.379593,-99.181351
CE-390-391 Oso-Félix Cuevas,19.373161,-99.178243
CE-303 Montecito-Av. Insurgentes,19.394861698080163,-99.17300574486944
CE-370 Tlacoquemécatl-Av. Insurgentes,19.378827,-99.176944
CE-354 Boston-Av. Insurgentes,19.381714,-99.176664
CE-333 Georgia-Carolina,19.387624,-99.180978
CE-445-446 Riff-Avenida Río Churubusco,19.358934,-99.156064
CE-429 Pirineos-Av. Popocatépetl (Eje 8),19.363049,-99.158436
CE-414 Parroquia-José Ignacio Bartolache,19.370221,-99.173862
CE-432 Carrillo Puerto-Avenida México-Coyoacan,19.361245,-99.16239
CE-358 Nicolás San Juan-Matias Romero,19.380087,-99.16427
CE-409 Azores-División Del Norte,19.365125,-99.155477
CE-413 Parroquia-Avenida Coyoacán,19.369823,-99.172164
CE-345 Patricio Sanz - Miraflores,19.384447,-99.172039
CE-419 Actipan-Cadiz,19.370615,-99.181606
CE-307 Minnesota-Dakota,19.393711808925048,-99.17581468826029
CE-361 Porfirio Díaz-Capulín,19.380691,-99.175036
CE-393 Adolfo Prieto-Félix Cuevas,19.373307,-99.172471
CE-306 Dakota-Filadelfia,19.393699,-99.175664
CE-349 Augusto Rodin-Avenida San Antonio,19.385632,-99.180848
CE-284 Dakota-Vermont,19.397693,-99.172981
CE-308 Nueva York-Arizona,19.393643,-99.178156
CE-312 Avenida 2-Calle 7,19.392634,-99.183737
CE-325 Providencia -Avenida Del Valle,19.38817793281278,-99.16966706519814
CE-327 Georgia -Pensilvania,19.38885,-99.17772
CE-335 Magdalena-Ameyalco,19.386989,-99.173438
