Station,lat,lon
de l'Hôtel-de-Ville / Viger,45.509556992257025,-73.55740696191788
Ste-Catherine / Dezery,45.539385081961676,-73.54099988937377
Clark / Evans,45.51093100153487,-73.56748484529817
du Champ-de-Mars / Gosford,45.50965520472071,-73.55400860309601
Brittany / Ainsley,45.52588991809354,-73.65003436803818
20e avenue / de Bellechasse,45.559962552180544,-73.5769522190094
de l'Hôtel-de-Ville / Ste-Catherine,45.51166045593874,-73.56213569641113
Ste-Catherine / Sanguinet,45.512936177874096,-73.56124520301817
Crescent / de Maisonneuve,45.49812041247333,-73.57759594917297
de Grosbois / Duchesneau,45.611230741550536,-73.5312415660519
Porte de Québec / St-André,45.51329411414168,-73.55057805776596
Mansfield / Ste-Catherine,45.50140664031126,-73.57165485620499
Sanguinet / de Maisonneuve,45.51340553558378,-73.56259435415267
St-Denis / Ste-Catherine,45.51372291221464,-73.5603104531765
St-Denis / de Maisonneuve,45.51433912935237,-73.56168508529663
Jacques-Le Ber / de la Pointe Nord,45.47259900304475,-73.5398056358099
Atateken / du Square Amherst,45.52063377251984,-73.56390595436096
St-André / Ontario,45.51889,-73.56353
Métro Sherbrooke (de Rigaud / Berri),45.51814312154928,-73.56800436973572
de l'Hotel-de-Ville / Ontario,45.51374520222444,-73.56666326522826
Montcalm / Ontario,45.52118387502727,-73.56244146823883
de la Commune / Berri,45.51086,-73.54983
des Ormeaux / Notre-Dame,45.59926552299961,-73.51226069033146
Notre-Dame / St-Gabriel,45.50714391928411,-73.55511903762817
de la Commune / Place Jacques-Cartier,45.50761009451047,-73.55183601379395
de Maisonneuve / Mansfield (sud),45.502053864057466,-73.57346534729004
Bourget / St-Jacques,45.48067368593179,-73.58351558446884
St-Antoine / St-François-Xavier,45.50460620417374,-73.55926036834717
Métro Place-d'Armes (Viger / St-Urbain),45.50631445605528,-73.55967122894072
Clark / Laurier,45.52256269005034,-73.5934665799141
Viger / Chenneville,45.50531166520915,-73.56089115142822
de la Commune / St-Sulpice,45.50424245563397,-73.553469479084
St-Nicolas / Place d'Youville,45.501966859101564,-73.55515256524086
des Récollets / McGill,45.5008764952487,-73.55900555849075
St-Antoine / Jean-Paul Riopelle,45.502939709023714,-73.56064036488532
St-Jacques / McGill,45.50144108135568,-73.56014415621758
de la Gauchetière / Robert-Bourassa,45.50064338023683,-73.5654079914093
Square Victoria (Viger / du Square-Victoria),45.50206,-73.56295
