Station,lat,lon
"01.KARIYUSHI LCH. Izumizaki 県庁前  / KARIYUSHI LCH. Kenchomae
",26.213189,127.677322
"02.ホテルストーク那覇新都心 / HOTEL StoRK
",26.22519444,127.6922222
"03.星野リゾートOMO5沖縄那覇 / Hoshino Resort OMO5 Okinawa Naha
",26.2174066,127.6798914
"04.サザンビーチホテル＆リゾート沖縄 /  Southern Beach Hotel & Resort Okinawa
",26.13218,127.65296
"05.パレットくもじ / Palette kumoji
",26.213303,127.67884
"06.パレットくもじ県庁前駅下 / Palette kumoji kenchoumae ekishita
",26.21429,127.67963
"07.那覇中央郵便局 / Naha Central Post Office
",26.205227,127.679432
"08.牧志郵便局 / Makishi post office
",26.217229,127.691717
"09.小禄郵便局 / Oroku post office
",26.188809,127.660835
"10.東町郵便局 / Higashimachi post office
",26.213346,127.674074
"11.琉球銀行イチバンジャー出張所 / BANK OF THE RYUKYUS Ichibanger branch office
",26.216778,127.69
"12.沖縄アウトレットモールあしびなー / Okinawa Outlet Mall ASHIBINAA
",26.15848,127.658238
"13.豊見城市観光協会 / Tomigusuku City Tourism Association
",26.15747,127.65614
"14.ピータイム おもろ / P-time Omoro
",26.22497222,127.6961389
"15.琉球ガラス村 / RYUKYU GLASS CREATION
",26.0977596,127.6779029
"16.ソルヴィータホテル那覇 / Solvita Hotel NAHA
",26.219767,127.679226
17.ロワジールホテル那覇 / LOISIR HOTEL NAHA,26.2137536,127.6658771
"18.ノボテル沖縄那覇 / NOVOTEL OKINAWA NAHA
",26.219193,127.706718
"19.コンドミニアムホテル モンパ / Condominium Hotel Monpa
",26.315029,127.755732
"20.ココシャスモンパ / Cococious Monpa
",26.32151,127.755732
"沖縄観光情報センター
 / Okinawa Tourist Information Center
",26.2113653,127.6769793
"那覇市観光案内所 / Naha City Tourist Information
",26.2160937,127.6892309
KARIYUSHI LCH. Izumizaki 県庁前,26.2132242,127.6773364
ノボテル沖縄那覇,26.2192566,127.7067699
ソルヴィータホテル那覇,26.2197595,127.6792453
ホテルストーク 那覇新都心,26.225199,127.6922808
星野リゾート OMO5沖縄那覇,26.2174368,127.6799318
"豊見城市観光協会
（道の駅豊崎てぃぐま館）",26.1572981,127.6562648
琉球ガラス村 本館ショップ,26.0976966,127.6771896
