Station,lat,lon
A-01.HUBchari /HUBchari secretariat,34.7123914,135.5094141
5B-02. America-mura,34.6728428,135.4986575
A-02. / FamilyMart Tenroku Kita,34.712522,135.5103918
5A-03. / Shin Umeda City,34.7041407,135.4903718
A-04. / Ibis Budget Osaka Umeda,34.7055242,135.5038583
A-05. / Family Mart Tenroku Honjo Higashi,34.7123728,135.5087775
A-06.NTT / NTT WEST Horikawa Building,34.7013258,135.5160356
A-07./ Nippon Life Umeda Building,34.7024511,135.5034591
A-08. NTT / NTT WEST Toyosaki Building,34.7104067,135.497886
7A-09.,34.710803,135.492927
A-10. / osaka fukuchan gyoza oyodo,34.707725,135.489549
A-11.UN / Umeda UN Bldg.,34.6990739,135.506337
A-12. / FamilyMart Tenjimbashi 4,34.7038292,135.5123129
A-13.K2 / FamilyMart K2 Umeda-Higashi,34.70697,135.502411
A-14.2 / ESTEM COURT UMEDA KITA 2 ZENITH,34.70269,135.480234
"A-15. / LAWSON Kokubunji 1 Higashi
",34.7096747,135.5160574
"A-16. / Dormy OsakaTemmangu
",34.7006058,135.5152073
11A-17. / Cradle Umeda,34.706471,135.491397
A-18. / Nakanoshima Center Bldg.,34.6871615,135.4851038
A-19.OAP  / OAP OSAKA AMENITY PARK EAST,34.70005,135.520199
A-20.2/ Kita-ku Ukida2 (Osaka Metro Nakazakicho Sta.),34.7090163,135.5077576
A-21. / CENTRAL ELECTRIC CLUB,34.695218,135.494102
17A-22.DT/Umeda DT Tower,34.6996714,135.4974588
A-23./Urban Ace Higashitenma Bldg.,34.6960662,135.5177113
A-24.D.D.HOUSE,34.7074047,135.4973209
"A-25. / NIPPON EXPRESS Osaka Branch
",34.7069795,135.4916781
5A-26.OAP  / OAP OSAKA AMENITY PARK WEST,34.699732,135.519364
A-27. / Nakanoshima Center Bldg. North,34.687387,135.484589
A-28. / Osaka Sta.,34.702842,135.49422
A-29.UR / UR Riverside Nagara,34.716558,135.516482
A-30.UR / UR Sazanami Plaza,34.712741,135.518496
A-31.UR / UR Riverside Honjou,34.716068,135.506895
A-32./A-32.Urban Terrace Chayamachi,34.70771,135.49834
A-33. / Haydens UMEGAE,34.697495,135.506967
A-34. / Izumiya Tenrokuhinokuchi,34.708805,135.515981
A-35. / FamilyMart Honjo-Nishi 3,34.714472,135.504038
A-36. / FamilyMart Nakazaki-Minami,34.704057,135.505319
3A-37. / TOTSU Building,34.706332,135.487728
11A-38./Kita ward office,34.705161,135.51075
9A-39./Oyodo community center,34.71558,135.508612
13A-40./Nishi umeda park,34.697616,135.491634
8A-41./Dojima park,34.695202,135.498814
A-42.24-15 / Suehirocho 24-15,34.702347,135.509954
13A-43. / Urbanex Kamiyamacho Bldg.,34.702793,135.506975
A-44. / PROUD TOWER UMEDA TOYOSAKI,34.713434,135.502264
A-45. / CRYSTAL GLANZ HIGASHITEMMA,34.696202,135.516544
A-46. / CRYSTAL GLANZ UMEDA,34.705394,135.505546
7A-47.SN / SN Bldg.,34.698832,135.508058
