Station,lat,lon
"Welcome Park, NPS",39.94733,-75.14403
40th & Spruce,39.9522,-75.20311
"11th & Pine, Kahn Park",39.94517,-75.15993
Temple University Station,39.98081,-75.15067
33rd & Market,39.95576,-75.18982
15th & Spruce,39.94711,-75.16618
21st & Catharine,39.94218,-75.17747
"21st & Winter, Franklin Institute",39.95886,-75.17369
"4th & Walnut, NPS",39.94735,-75.14886
"11th & Poplar, John F. Street Community Center",39.96892,-75.1547
6th & Berks,39.98003,-75.14371
12th & Filbert,39.95273,-75.15979
6th & Race,39.95403,-75.14983
University City Station,39.94855,-75.19007
18th & JFK,39.9539,-75.16902
Amtrak 30th Street Station,39.95472,-75.18323
"43rd & Chester, Clark Park",39.94822,-75.20908
11th & Washington,39.93724,-75.1612
2nd & Lombard,39.94182,-75.1455
4th & Bainbridge,39.94061,-75.14958
36th & Sansom,39.9538,-75.19479
Darien & Catharine,39.93935,-75.15716
13th & Montgomery,39.98005,-75.15522
23rd & South,39.94527,-75.17971
10th & Chestnut,39.95005,-75.15672
11th & Reed,39.93315,-75.16248
Dornsife Center,39.96271,-75.19419
Pennsylvania Convention Center,39.95424,-75.16138
The Children's Hospital of Philadelphia (CHOP),39.94781,-75.19409
Broad & Girard,39.97157,-75.15993
17th & Spring Garden,39.96289,-75.16606
"Girard Station, MFL",39.96849,-75.13546
"18th & Fernon, Aquinas Center",39.93082,-75.17474
2nd & Market,39.95012,-75.14472
"Independence Mall, NPS",39.95073,-75.14947
Foglietta Plaza,39.94509,-75.1425
9th & Arch,39.95339,-75.15426
23rd & Fairmount,39.96744,-75.17507
9th & Locust,39.94732,-75.15695
Point Breeze & Tasker,39.93231,-75.18154
Rodin Museum,39.9625,-75.1742
8th & Market,39.95112,-75.15457
Broad & Oxford,39.97669,-75.15813
Philadelphia Museum of Art,39.96439,-75.17987
20th & Fairmount,39.96716,-75.17001
"Spring Garden Station, BSL",39.96244,-75.16121
Free Library of Philadelphia - Central Library,39.95923,-75.17036
23rd & Market,39.95425,-75.17761
24th & Sansom,39.95197,-75.17943
17th & Pine,39.94633,-75.1698
"18th & Washington, Chew Playground",39.9384,-75.17327
Girard & Hutchinson,39.9707,-75.15171
19th & Lombard,39.94561,-75.17348
"39th & Mt. Vernon, Mantua Haverford Community Center",39.96411,-75.19973
Broad & Federal,39.93549,-75.16711
4th & Christian,39.93704,-75.15038
"Spring Garden Station, MFL",39.96062,-75.13983
"32nd & Baring, Drexel Park",39.96173,-75.18788
Front & Carpenter,39.93445,-75.14541
9th & Spring Garden,39.96143,-75.15242
44th & Walnut,39.95511,-75.20987
Fairmount & Ridge,39.96718,-75.16125
17th & Girard,39.97207,-75.16351
19th & Market,39.95355,-75.17192
Broad & Christian,39.94019,-75.16691
3rd & Girard,39.96984,-75.1418
33rd & Diamond,39.98837,-75.18701
29th & Dauphin,39.99119,-75.17975
"Berks Station, MFL",39.97888,-75.13339
10th & Federal,39.93431,-75.16042
4th & Washington,39.93401,-75.15094
Moyamensing & Tasker,39.92777,-75.15103
11th & South,39.94295,-75.15955
Pennsylvania & Fairmount Perelman Building,39.96759,-75.17952
34th & Mantua,39.96664,-75.19209
33rd & Dauphin,39.99179,-75.18637
33rd & Reservoir,39.98203,-75.18866
Del. River Trail & Penn St.,39.96175,-75.13641
"Parkside & Belmont, Case Building",39.97779,-75.21323
48th & Spruce,39.95373,-75.21825
Philadelphia Zoo,39.97472,-75.19781
22nd & Federal,39.93775,-75.18012
"19th & Girard, PTTI",39.97263,-75.16757
Barnes Foundation,39.96006,-75.17198
ParkWest Town Center,39.97841,-75.22399
"46th Street Station, MFL",39.95866,-75.21323
42nd & Lancaster,39.96674,-75.20799
31st & Girard,39.97522,-75.18669
22nd & Cecil B. Moore,39.98004,-75.17088
Race Street Pier,39.95367,-75.13956
