Station,lat,lon
SE Elliott at Division,45.50512504,-122.6533681
NE Cully at Killingsworth,45.56250716,-122.5943702
SW 3rd at Morrison,45.51803412,-122.6755071
NE Alberta at 14th,45.55916922,-122.6514316
N Alberta Street at Interstate Ave,45.55891838,-122.6824003
SW 2nd at Pine,45.52142066,-122.6726291
SE Division at 115th ave,45.5041321,-122.5451016
N Russell at Interstate,45.54107815,-122.6769716
SE Stark at 79th Ave,45.5191725,-122.5822778
NE Holladay at 2nd,45.52996934,-122.6632373
SW River at Montgomery,45.50910258,-122.6735169
NW Johnson at Jamison Square,45.5286366,-122.6820195
N Morris at Vancouver,45.5446211,-122.667667
SE 28th at Pine,45.5205931,-122.637238
NW 18th at Northrup,45.53142501,-122.6895659
SE 2nd Pl at Tilikum Way,45.50624163,-122.6633379
NW 10th at Everett,45.52500056,-122.6811048
N Winchell at N Woolsey,45.5808002,-122.7133655
Epler Hall,45.5130553,-122.6877767
NE Multnomah at 9th,45.53140997,-122.6574612
SW 4th at Madison,45.5152252,-122.6783454
NE Going at Grand,45.55645437,-122.6603794
NW Flanders at 14th Ave,45.5257231,-122.6854375
SE 9th at Burnside,45.52279251,-122.6566163
N Rosa Parks Way at Albina,45.569917,-122.6744197
SE Division at 82nd,45.50509011,-122.57900777
SE 40th at Hawthorne,45.51186486,-122.6210475
NE Knott at 33rd,45.5420646,-122.6308254
SE Belmont at 45th,45.51658489,-122.6160378
NE Glisan at 24th,45.52649493,-122.6416328
SW Morrison at 18th,45.52196048,-122.6896772
NE Killingsworth at NE 52nd,45.5628283,-122.6093459
NW Naito at Ironside,45.52871176,-122.674166
SE Holgate at 82nd Ave,45.4902606,-122.5785721
NW 18th at Flanders,45.52556242,-122.6892561
N Pittsburg at N Crawford,45.5868448,-122.7591351
NE Alberta at 10th,45.55913676,-122.6554307
SW Moody at Thomas,45.49429475,-122.6719048
NE Dekum at Oneonta St,45.5717805,-122.6564844
SE 50th at Clinton,45.50350608,-122.6110657
NE Alberta at 24th,45.55908767,-122.6407517
NE Ainsworth at 42nd Ave,45.5664345,-122.6205956
Kerr Bikes/Adaptive BIKETOWN,45.5103826,-122.6672484
SE 29th at Belmont,45.51623176,-122.6360679
NE 33rd at Jarrett (Kennedy School),45.56453067,-122.6305372
N Michigan at Killingsworth,45.56251948,-122.6770306
N Denver at Interstate Ave,45.584012,-122.6867319
NE 41st at Sandy Blvd (Hollywood Theatre),45.53577751,-122.620613
