Station,lat,lon
"Radisson Blu Hotel Latvija, Elizabetes iela 55",56.954617,24.117925
Valnu/ Kalku ielas krustojums,56.950027,24.110994
Elizabetes/ Pulkveza Brieza ielas krustojums,56.958642,24.105806
LIDL Dzelzavas iela 75B,56.955653,24.200086
"Radisson Blu Daugava Hotel, Kugu iela 24",56.943991,24.094364
Dienvidu tilts,56.921357,24.17136
Tallinas/ Miera ielas krustojums,56.965225,24.133422
Kr. Valdemara/ Raiņa bulv. krustojums,56.954313,24.108242
"Agenskalna tirgus, Nometnu 64",56.935288,24.071351
Kalnciema/ Slokas ielas krustojums,56.94587,24.073802
VEF mobilitātes punkts,56.973369,24.166054
"i/c Olimpia, Azenes iela 5",56.94955,24.083877
Rātslaukums,56.947514,24.106123
Brīvības un Murjāņu ielas krustojums,56.987918,24.229901
Sporta un Grostonas ielu krustojums,56.963324,24.119164
"Citadele banka, Republikas laukums 2a",56.95333,24.100839
Pērnavas un Kr. Barona ielu krustojums,56.965187,24.148625
LIDL Imanta,56.958028,24.010223
LIDL Ziepniekkalns,56.905915,24.093795
LIDL Zolitūde,56.945729,24.011307
LIDL Stirnu iela 31,56.959537,24.184207
LIDL Teika,56.975187,24.174653
Stacijas laukums,56.947321,24.119695
"Dzirciems, Dzirciema ielas un Jūrmalas gatves krustojums",56.951548,24.053798
Mežaparks,57.005195,24.156725
Teika,56.978701,24.185307
LIDL Mežciems,56.959885,24.232133
Dzirnavu/ Zaļās ielas krustojums,56.958314,24.11381
"Bērnu pasaule, K.Barona/ Matīsa ielas krustojums",56.957045,24.133546
Brasa,56.976608,24.145471
LIDL birojs,56.949459,24.234102
TC Minsk,56.96023,24.175158
LIDL Lubānas iela 113A,56.932747,24.19639
"LIDL Ķengarags, Prūšu iela 1",56.915693,24.180839
LIDL Skanste,56.964349,24.117111
"LIDL, Tēriņu iela 62",56.912467,24.067343
LIDL Kalnciema iela,56.942727,24.066689
LIDL Duntes,56.992202,24.124845
TC Domina,56.965778,24.163941
Gaiļezers Beta,56.966907,24.240174
LIDL Deglava iela 160,56.944085,24.221758
Strazdumuiža,56.982081,24.252212
