Station,lat,lon
1 - Central do Brasil,-22.904152,-43.190611
2 - Praça da República,-22.907434,-43.190287
3 - Praça Tiradentes,-22.906848,-43.181887
4 - Largo de São Francisco,-22.905594,-43.18007
5 - Largo da Carioca,-22.907873975195532,-43.1776941415977
6 - Praça Marechal Âncora,-22.90411,-43.171636
7 - Bossa Nova Mall,-22.914619,-43.167037
8 - MAM,-22.912771,-43.172129
9 - Sala Cecília Meirelles,-22.913925,-43.178669
10 - Largo da Glória,-22.920544,-43.177391
11 - Praça Luiz de Camões,-22.92074,-43.1746
12 - Artur Bernardes,-22.928415,-43.179264
13 - Parque Guinle,-22.932168,-43.182297
14 - Pereira da Silva,-22.933408,-43.185815
15 - Alegrete,-22.938564,-43.193592
16 - Praça São Judas Tadeu,-22.94057,-43.198005
17 - Oswaldo Cruz,-22.938452,-43.173577
18 - Praça Nicarágua,-22.940958,-43.177242
19 - Guilhermina Guinle,-22.949624,-43.188683
20 - Cobal,-22.953847,-43.196941
21 - Real Grandeza,-22.954165,-43.192913
22 - General Polidoro,-22.957157,-43.188818
23 - Pró Cardíaco Botafogo,-22.956109,-43.185633
24 - Lauro Müller,-22.956292,-43.177169
25 - UFRJ Praia Vermelha,-22.952592422138423,-43.17625485508651
26 - Iate Clube,-22.953387,-43.173126
27 - Pedra do Leme,-22.962102,-43.165407
28 - Praça Demétrio Ribeiro,-22.961823,-43.175519
30 - Santa Clara 98,-22.970645,-43.187914
31 - Santa Clara,-22.972278,-43.186443
32 - Bolívar,-22.975924,-43.188813
33 - Almirante Gonçalves,-22.979976,-43.190754
34 - Conselheiro Lafaiete,-22.986346,-43.192073
35 - Pedra do Arpoador,-22.988905,-43.191618
36 - Joaquim Nabuco,-22.987292,-43.196126
352 - Gomes Carneiro,-22.986306,-43.197449
38 - Garcia D'Ávila,-22.98582,-43.209282
39 - Aníbal de Mendonça,-22.98545,-43.211511
40 - Afrânio,-22.986212,-43.217517
41 - Maria Quitéria,-22.980631,-43.207046
42 - Metrô Lagoa,-22.979019,-43.200969
43 - Parque da Catacumba,-22.975651,-43.200159
44 - Epitácio Pessoa 4224,-22.969634,-43.205854
45 - Epitácio Pessoa 4794,-22.965488,-43.203574
46 - Clube Piraquê,-22.96642,-43.216724
47 - Parque dos Patins,-22.972408,-43.217447
48 - Parque das Figueiras,-22.976067,-43.218609
49 - Shopping da Gávea,-22.975478,-43.227881
50 - Praça Sibélius,-22.977731,-43.22643
51 - Cidade Nova,-22.910637,-43.205672
52 - Medalha Milagrosa,-22.915634,-43.212431
