Station,lat,lon
Museo Castagnino,-32.95421439665977,-60.655986964702606
Paseo Pellegrini,-32.956663076908484,-60.64486920833588
Plaza López,-32.95812144981906,-60.63670188188553
Fac. de Ingeniería,-32.959215213707765,-60.62944918870926
Ciudad Univ. I,-32.96736625395059,-60.62357246875763
Ciudad Univ. II,-32.96850040867347,-60.62398016452789
Terminal,-32.93944885753075,-60.67054331302643
Fac. Medicina,-32.9403492658816,-60.665243268013
Pueyrredón,-32.94573801821987,-60.65809518098831
Fac. Ciencias Económicas,-32.94996730598237,-60.654785335063934
Plaza San Martín,-32.94402733877261,-60.650536715984344
Plaza Pringles,-32.94531035146112,-60.644497722387314
Plaza Montenegro,-32.9493843560409,-60.63740864396095
Plaza Sarmiento,-32.94882616098827,-60.641776621341705
Plaza 25 de Mayo,-32.94755220262625,-60.63288778066635
Pichincha,-32.93664295494056,-60.651848591567685
Distrito Centro,-32.935878648179575,-60.64261347055435
Parque España,-32.94099755421734,-60.63473045825958
Parque Independencia I,-32.95358421061909,-60.66343545913696
HECA / UCA,-32.95206724436681,-60.67079275846481
Parque Independencia II,-32.96512040461018,-60.65592795610428
Parque de la Arenera,-32.92663505330592,-60.65880596637726
Plaza Suecia,-32.93184904583995,-60.65018132328987
Gimnasio UNR,-32.94041229412281,-60.64960062503815
Abasto,-32.962680960480846,-60.64523935317993
Parque Hipólito Yrigoyen,-32.96806835144843,-60.64059376716614
República de la Sexta,-32.96399070730771,-60.63680648803711
Barrio Martin,-32.95339515393067,-60.62930703163147
Pichincha II,-32.935162788101124,-60.65977692604065
Plaza Cooperación,-32.94162782998716,-60.63880205154419
Barrio Parque,-32.95894064873677,-60.67002296447754
Estadio Municipal,-32.963612638052126,-60.66525936126709
CC Echesortu,-32.94575602519591,-60.672104358673096
Paseo Pellegrini II,-32.9556277975818,-60.651172399520874
Club Provincial,-32.971511248782775,-60.6603080034256
Barrio Hospitales,-32.97084968284816,-60.64461708068848
Parque Hipólito Yrigoyen II,-32.96977681526667,-60.633952617645264
Plaza Gral. Toribio de Luzuriaga,-32.97733374029842,-60.64409136772156
Pellegrini y Avellaneda,-32.95019913442736,-60.68156719207764
Puerto Norte,-32.92301479484789,-60.66567778587341
Lagos y Segui,-32.974683996129144,-60.669100284576416
Barrio Matheu,-32.978554143531696,-60.649391412734985
CC Echesortu II,-32.944418997251766,-60.68002223968506
Bella Vista,-32.957783865637914,-60.68373441696167
Alto Rosario,-32.92653599347845,-60.6690788269043
Oroño y Segui,-32.97646608507204,-60.66103219985962
Plaza Eva Duarte de Perón,-32.97858114396427,-60.63432276248932
Refinería,-32.92171051403622,-60.674591048545835
Arroyito,-32.916072619129054,-60.673173501081465
Barrio Agote,-32.934106315234914,-60.66570220787048
Cinco esquinas,-32.95708325593757,-60.676323755569456
Barrio Lourdes,-32.947594287181566,-60.662102683372495
Avellaneda y Córdoba,-32.939457,-60.679149
Distrito Oeste,-32.9581866,-60.6913242
Portal Rosario,-32.9093257,-60.6833951
Lisandro de la Torre,-32.91422795893311,-60.686350568660984
Plaza Alberdi,-32.894645560577175,-60.69265425549448
Rondeau y Washington,-32.9004262817609,-60.69081468532575
PAMI II,-32.91293717782394,-60.68009608761775
La Rambla,-32.89180515414552,-60.68577111042986
La Florida,-32.88490773761225,-60.687353021309754
Parque Alem,-32.910503,-60.677572
Rondeau y Sorrento,-32.906549276588485,-60.688922467747204
Mendoza y Sucre,-32.942375,-60.691032
Plaza Azcuénaga,-32.941427,-60.696252
Mendoza y Magallanes,-32.940079,-60.705073
Cuatro Plazas,-32.940247,-60.711147
Provincias Unidas y Eva Perón,-32.933226,-60.713076
Distrito Noroeste,-32.928205,-60.712881
Rondeau y Ricardo Núñez,-32.884702,-60.695824
Rondeau y Martín Fierro,-32.878274,-60.697782
Costa Alta,-32.8736414,-60.6890764
Estación de Prueba,-32.965652,-60.712254
 San Martín y Quintana,-32.982582,-60.645027
Distrito Sur,-32.990427,-60.643197
Rosario Norte,-32.930972,-60.657499
San Martín y Regimiento 11,-32.998501,-60.648263
Monumento Nacional a la Bandera,-32.94793448901754,-60.62874616458971
Las Heras,-32.99968591719347,-60.64309500526114
O'Higgins,-32.999253,-60.629811
San Martín y Arijón,-33.002414,-60.649179
Ayacucho y Arijón,-33.002331,-60.636076
Polo Tecnológico,-32.995666,-60.63696
Polo Tecnológico,-32.995666,-60.63696
De la Resistencia,-32.98661,-60.628047
San Martín y Cabildo,-33.0078763,-60.6503745
