Station,lat,lon
Main Plaza,29.42479,-98.49442
Market Square,29.42454,-98.49949
Alamo Plaza,29.4265,-98.48703
S. St. Mary's@S. Alamo,29.41595,-98.48974
Blue Star,29.40917,-98.49482
Yanaguana Garden,29.41909,-98.48803
Pearl@Hotel Emma,29.44341,-98.48085
1111 S. Alamo,29.41232,-98.49194
Cesar Chavez@S. St. Mary's,29.41816,-98.49002
Main@Sheridan,29.41485,-98.49699
Roosevelt Park,29.40058,-98.48852
Concepcion Park,29.38813,-98.4974
Mission Concepcion ,29.38994,-98.49174
Mission San Jose,29.36014,-98.47968
Stinson Airport,29.33905,-98.46696
SA Zoo,29.4611,-98.47447
Witte @ Parking Garage,29.46125,-98.468
Acequia Park,29.34678,-98.46292
Mission County Park,29.36793,-98.47618
423 Blue Star,29.40452,-98.49091
Mission San Juan,29.33424,-98.45535
Flores @ Cesar Chavez,29.4193,-98.49694
Mission Marquee Plaza,29.3665,-98.47986
200 N Main St,29.42651,-98.49363
305 E. Houston,29.4265,-98.48938
Mission Espada ,29.31931,-98.4511
203 E Jones Ave,29.43569,-98.48009
285 Mission Parkway,29.35326,-98.46937
Confluence Park,29.39322,-98.49746
Pearl Culinary Garden ,29.44276,-98.48008
The Flats at Big Tex,29.40618,-98.49344
The Havana,29.43086,-98.48982
