Station,lat,lon
1,25.02605,121.5436
2,25.02565,121.54357
3,25.02429,121.54124
4,25.02351,121.54282
5,25.02153,121.54299
6,25.02429,121.54328
7,25.02253,121.54326
8,25.02112,121.53407
9,25.01976,121.53384
10,25.01894,121.53361
11,25.01986,121.52982
12,25.02543,121.54332
13,25.01717,121.53202
14,25.020348,121.546446
15,25.01927,121.52989
16,25.01895,121.53156
17,25.024461,121.546705
18,25.02093,121.5331
19,25.01385,121.53549
20,25.01491,121.53438
21,25.01244,121.53661
23,25.01295,121.53973
24,25.01137,121.54062
25,25.01182,121.54165
26,25.01426,121.54382
27,25.01234,121.54503
28,25.0136,121.54656
29,25.01537,121.54698
30,25.01637,121.54535
31,25.01664,121.5452
32,25.01576,121.54291
33,25.01787,121.5476
34,25.02032,121.54497
35,25.02076,121.54432
36,25.02101,121.54284
37,25.02104,121.54081
38,25.0222,121.53626
39,25.02218,121.53474
40,25.01727,121.54471
41,25.022864,121.546622
42,25.021641,121.54704
43,25.021469,121.544069
44,25.02193,121.53165
45,25.0189,121.55013
46,25.01856,121.55558
47,25.01623,121.55037
48,25.021,121.55211
49,25.0181,121.55929
50,25.02397,121.55266
51,25.02705,121.55551
52,25.02694,121.55325
53,25.02021,121.52942
54,25.02669,121.52529
55,25.02638,121.52971
56,25.02621,121.53171
57,25.0266,121.52973
58,25.0276,121.52217
59,25.02715,121.52293
60,25.02895,121.5379
61,25.02657,121.53515
62,25.02606,121.53738
63,25.02984,121.53107
64,25.03383,121.52815
65,25.03519,121.5245
66,25.03325,121.52436
67,25.03164,121.52661
68,25.0237,121.54899
69,25.02215,121.54839
70,25.02721,121.54988
71,25.02952,121.55406
72,25.02931,121.55721
73,25.04177,121.53833
74,25.04003,121.53299
75,25.03753,121.53523
76,25.03534,121.5354
77,25.03701,121.54348
78,25.03935,121.53828
79,25.04035,121.5436
80,25.0332,121.5439
81,25.03358,121.54141
82,25.03317,121.54639
83,25.04092,121.54825
84,25.03754,121.55285
85,25.03333,121.54977
86,25.03706,121.55166
87,25.03304,121.55171
88,25.04463,121.53665
89,25.04448,121.53946
90,25.03332,121.53435
91,25.03318,121.55725
92,25.03513,121.5561
93,25.0391,121.5569
94,25.03635,121.53833
95,25.04091,121.53295
96,25.03126,121.54339
97,25.04189,121.53376
98,25.04201,121.54612
99,25.04405,121.5486
100,25.03336,121.5364
101,25.0328,121.53746
102,25.03569,121.5451
103,25.03473,121.54767
104,25.04262,121.54443
105,25.04153,121.5524
106,25.04159,121.54937
107,25.02979,121.54053
108,25.0277,121.55132
109,25.02469,121.54459
110,25.04122,121.55745
111,25.03756,121.54587
112,25.03305,121.55378
113,25.02681,121.54668
114,25.03748,121.55564
115,25.03331,121.55265
116,25.0287,121.54904
117,25.02861,121.54336
118,25.02575,121.5377
119,25.01223,121.54788
120,25.04311,121.54313
121,25.03363,121.52962
122,25.03609,121.54709
123,25.01551,121.53374
124,25.04196,121.53653
125,25.04176,121.54027
126,25.01744,121.53334
127,25.02267,121.5341
128,25.03479,121.54376
129,25.01783,121.55224
130,25.01727,121.54904
131,25.02039,121.54853
132,25.02347,121.54108
133,25.02054,121.54561
134,25.02444,121.54908
135,25.01705,121.54435
136,25.03762,121.55009
137,25.04464,121.54944
138,25.04172,121.54541
139,25.04472,121.54401
140,25.02598,121.53454
141,25.02535,121.55101
142,25.03333,121.53968
143,25.03715,121.54936
144,25.02709,121.54902
145,25.0371,121.54839
146,25.02821,121.54864
147,25.03328,121.5425
148,25.02055,121.52855
149,25.03459,121.55164
150,25.02101,121.54153
151,25.03002,121.54893
152,25.03054,121.52466
153,25.0401,121.54122
154,25.07894,121.51121
155,25.0741,121.51349
156,25.07717,121.50934
157,25.06864,121.5107
158,25.07158,121.51368
159,25.06647,121.5165
160,25.05601,121.50895
161,25.07378,121.51583
162,25.07133,121.52024
163,25.0722,121.51057
164,25.07567,121.51862
165,25.07598,121.51409
166,25.07447,121.52003
167,25.06326,121.51099
168,25.06327,121.50943
169,25.05915,121.51033
170,25.06853,121.51729
171,25.0708,121.51826
172,25.06314,121.51308
173,25.06325,121.51162
174,25.06174,121.51969
175,25.05826,121.52063
176,25.04991,121.5104
177,25.05592,121.51367
178,25.05454,121.51052
179,25.07049,121.51596
180,25.06054,121.51338
181,25.06867,121.51993
182,25.05369,121.51418
183,25.06853,121.51359
184,25.06407,121.51822
185,25.04925,121.51468
186,25.06594,121.51078
187,25.05205,121.50818
188,25.06011,121.51729
189,25.07491,121.5115
190,25.06496,121.51608
191,25.05918,121.51373
192,25.05662,121.50783
193,25.05805,121.51353
194,25.06322,121.5144
195,25.06247,121.51839
196,25.05366,121.51638
197,25.05756,121.51828
198,25.05646,121.51698
199,25.04937,121.51914
200,25.06129,121.52021
201,25.05296,121.51938
202,25.0515,121.51398
203,25.06587,121.51847
204,25.05658,121.50826
205,25.07182,121.51929
206,25.06669,121.51615
207,25.04879,121.51626
208,25.06036,121.51996
209,25.06157,121.51683
210,25.06095,121.51428
211,25.06092,121.51126
212,25.08128,121.51784
213,25.08914,121.51542
214,25.08695,121.51901
215,25.08521,121.51918
216,25.10277,121.53357
217,25.12001,121.53342
218,25.11856,121.52964
219,25.11633,121.53414
220,25.11356,121.53718
221,25.11127,121.53244
222,25.11341,121.53195
223,25.12011,121.52652
224,25.11184,121.52589
225,25.08009,121.51895
226,25.07994,121.52426
227,25.10813,121.5304
228,25.10564,121.52916
229,25.10399,121.52593
230,25.10155,121.52832
231,25.10186,121.53083
232,25.08302,121.52069
233,25.08671,121.52096
234,25.08828,121.51985
235,25.0848,121.52125
236,25.08736,121.52272
237,25.10364,121.52219
238,25.10208,121.51979
239,25.08288,121.52455
240,25.08403,121.5249
241,25.09667,121.53206
242,25.09896,121.53025
243,25.09651,121.52753
244,25.08911,121.52154
245,25.09164,121.51706
246,25.09631,121.51449
247,25.09598,121.51776
248,25.09619,121.5223
249,25.09419,121.52833
250,25.09343,121.52642
251,25.08771,121.52677
252,25.09435,121.51702
253,25.10991,121.53039
254,25.10455,121.53195
255,25.10225,121.52286
256,25.10143,121.53585
257,25.10113,121.55159
258,25.09106,121.51502
259,25.09755,121.54036
260,25.08678,121.50948
261,25.08505,121.51166
262,25.08393,121.51169
263,25.08254,121.5075
264,25.10459,121.52417
265,25.08824,121.51054
266,25.09058,121.50142
267,25.09346,121.50376
268,25.10641,121.52944
269,25.0902,121.50622
270,25.09833,121.54788
271,25.09763,121.53402
272,25.09312,121.51419
273,25.08279,121.51219
274,25.10893,121.46639
275,25.10304,121.48297
276,25.1064,121.4836
277,25.11314,121.48974
278,25.10261,121.48819
279,25.09669,121.49706
280,25.10696,121.53234
281,25.11044,121.53595
282,25.08899,121.51751
283,25.10775,121.52312
284,25.0933,121.51962
285,25.09609,121.53006
286,25.09709,121.54229
287,25.08217,121.51074
288,25.11306,121.53945
289,25.08887,121.50314
290,25.10012,121.53253
291,25.08019,121.5202
292,25.10455,121.53025
293,25.10199,121.52927
