Station,lat,lon
Nuijamaankatu,60.4702859,22.2363867
Kaupunginsairaala,60.4402143,22.2755189
Rustholli,60.4181145,22.2644157
Kuohukuja,60.4672166,22.3066902
Klyyvari,60.4281772,22.2383185
Ruissalon Kansanpuisto,60.4272298,22.184642
Ruissalon telakka,60.4375713,22.2024341
Ikituuri,60.4610982,22.2862398
Lemminkäisenkatu,60.4463931,22.2992561
Kauppiaskatu,60.4526712,22.2671211
Kävelykatu länsi,60.4503029,22.2610145
Ilpoinen,60.4224321,22.2842143
Mylly Länsipääty,60.4897837,22.197815
Piispankatu,60.4564251,22.2801175
Kupittaan urheiluhalli,60.4462399,22.2932631
Suurtori,60.4509304,22.2761904
Ruissalon Saaronniemi,60.423032,22.0949613
Turun linna,60.4359031,22.2304077
Puutori,60.4546684,22.2686566
Rautalankatu,60.4858648,22.233405
Puistokatu,60.4481579,22.2500941
Satama,60.4350687,22.2233336
K-Supermarket Nummenpakka,60.457509,22.3082867
Sale Kaskenkatu,60.4457232,22.2734523
Tykistökatu,60.4503126,22.2941139
Unioninkatu,60.4336438,22.2411061
Tyyssija,60.4625973,22.28813
Assari,60.4540031,22.287036
Kasvitieteellinen puutarha,60.4333241,22.1755304
Linja-autoasema,60.4573291,22.2685796
Hurttivuori,60.4421473,22.3423201
Hamaronkatu,60.4759684,22.3062225
Sale Kupittaanpuisto,60.4480014,22.2886024
Calonia,60.4568824,22.2856822
Sairashuoneenpuisto,60.4440759,22.2524037
Educarium,60.4580762,22.2861068
Yo-kylä 62-64,60.4624938,22.3013666
Kauppatori,60.4517292,22.2683004
Brahenkatu / Eerikinkatu,60.452086,22.2714496
Impivaaran uimahalli,60.4779378,22.2603312
Krööpilänkatu,60.4465318,22.3603542
Ispoisten uimaranta,60.4147645,22.2607054
T-sairaala,60.4550184,22.2975243
Ispoinen,60.427216,22.2686891
Kaupungintalo,60.4494001,22.2680492
Talpiankuja,60.4507284,22.3565227
Kiinanmyllynkatu,60.4535403,22.2866745
Puolalankatu,60.4525341,22.26184
Auriga,60.4396995,22.2274966
Kirjastosilta,60.4495967,22.2714027
Turun AMK 2,60.448696,22.2967089
K-market Hanski,60.4587664,22.3216579
Mylly Prisman pääty,60.4912293,22.2037895
Yo-kylä 82-84,60.4609008,22.2981711
eCargo bikes: Föri,60.4417316,22.2476668
Trampolin park,60.475316,22.2830877
Pääkirjasto,60.4503024,22.2705702
Kirkkotie,60.4580167,22.2926972
Prisma Länsikeskus,60.4739496,22.2268056
Forum Marinum,60.4369299,22.2369289
Brahenkatu / Yliopistonkatu,60.4533114,22.2698839
Vähätori,60.4510958,22.2729404
Pikisaari,60.4250716,22.196899
Lönnrothinpuisto,60.4531612,22.2741285
