Station,lat,lon
21st St & Pennsylvania Ave NW,38.901539,-77.046564
Prince St & Union St,38.803124,-77.040363
Market Square / King St & Royal St,38.804718,-77.043363
St Asaph & Pendleton St,38.810741,-77.044633
King St & Patrick St,38.805317,-77.049883
15th & K St NW,38.902,-77.03353
Commerce St & Fayette St,38.805648,-77.05293
Henry St & Pendleton St,38.811456,-77.050276
King St Metro South,38.805763,-77.060627
24th & N St NW,38.9066,-77.05152
22nd & I St NW / Foggy Bottom,38.90088,-77.048911
20th St & Virginia Ave NW,38.894722,-77.045128
5th St & Massachusetts Ave NW,38.90093,-77.018677
39th & Veazey St NW,38.943837,-77.077078
Fessenden St & Wisconsin Ave NW,38.954812,-77.082426
18th St & Wyoming Ave NW,38.918809,-77.041571
5th & Kennedy St NW,38.956556,-77.019814
Georgia Ave & Emerson St NW,38.949662,-77.027333
14th St & Colorado Ave NW,38.956432,-77.032947
13th St & Eastern Ave,38.987,-77.029417
Wisconsin Ave & O St NW,38.90849,-77.063586
Connecticut & Nebraska Ave NW,38.955016,-77.069956
17th St & Massachusetts Ave NW,38.908142,-77.038359
15th & Euclid St NW,38.92333,-77.0352
8th & East Capitol St NE,38.889988,-76.995193
New Jersey Ave & R St NW,38.912659,-77.017669
15th & East Capitol St NE,38.889908,-76.983326
8th & F St NE,38.897274,-76.994749
18th St & Rhode Island Ave NE,38.927095,-76.978924
15th & F St NE,38.897195,-76.983575
12th & Irving St NE,38.928644,-76.990955
Alabama & MLK Ave SE,38.84323,-76.999376
Pleasant St & MLK Ave SE,38.863897,-76.990037
Neal St & Trinidad Ave NE,38.903732,-76.987211
12th & U St NW,38.916787,-77.028139
S George Mason Dr & S Four Mile Run Dr,38.852248,-77.105022
N Pershing Dr & N Wayne St,38.880705,-77.08596
Columbia Pike & S Orme St,38.867262,-77.072315
3rd St & Pennsylvania Ave SE,38.887378,-77.001955
8th & D St NW,38.894851,-77.02324
3rd & Elm St NW,38.917622,-77.01597
Rhode Island Ave & V St NE,38.918155,-77.004746
Constitution Ave & 2nd St NW/DOL,38.892275,-77.013917
Washington & Independence Ave SW/HHS,38.886978,-77.013769
Independence Ave & L'Enfant Plaza SW/DOE,38.887312,-77.025762
Hamlin & 7th St NE,38.927497,-76.997194
Columbia Pike & S Walter Reed Dr,38.862478,-77.086599
Arlington Mill Cmty Center / Columbia Pike & S Dinwiddie St,38.856319,-77.11153
N Pershing Dr & N George Mason Dr,38.871822,-77.107906
Fenton St & New York Ave ,38.985404,-77.023082
Bethesda Ave & Arlington Rd,38.981103,-77.097426
Montgomery Ave & Waverly St ,38.983838,-77.09221
Fallsgrove Blvd & Fallsgrove Dr,39.096312,-77.192672
Traville Gateway Dr & Gudelsky Dr,39.093783,-77.202501
Norfolk Ave & Fairmont St,38.988562,-77.096539
E Montgomery Ave & Maryland Ave,39.084125,-77.151291
Cordell & Norfolk Ave,38.98954,-77.098029
Frederick Ave & Horners Ln,39.094772,-77.145213
Maple & Ritchie Ave,38.983627,-77.006311
Silver Spring Metro / Colesville Rd & Wayne Ave,38.995256,-77.029124
Friendship Hts Metro / Wisconsin Ave & Wisconsin Cir,38.961763,-77.085998
14th & Belmont St NW,38.921074,-77.031887
3rd & Tingey St SE,38.87501,-77.0024
10th St & Florida Ave NW,38.920387,-77.025672
Potomac Ave & 8th St SE,38.876737,-76.994468
Oklahoma Ave & D St NE,38.894474,-76.974828
Maryland Ave & E St NE,38.896226,-76.992786
New York Ave & Hecht Ave NE,38.915604,-76.983683
Yuma St & Tenley Circle NW,38.946182,-77.08059
Connecticut Ave & Chevy Chase Lake Dr,38.994113,-77.076986
Key West Ave & Siesta Key Way,39.105295,-77.194774
Saint Asaph St & Madison St,38.812718,-77.044097
King St Metro North / Cameron St,38.80704,-77.059817
Madison St & N Henry St,38.813485,-77.049468
Medical Center Metro ,38.999378,-77.097882
Wisconsin Ave & Ingomar St NW,38.958267,-77.084636
16th & Irving St NW,38.928893,-77.03625
16th & R St NW,38.912652,-77.036278
Lyttonsville Rd & Lyttonsville Pl,38.999679,-77.051168
Woodmont Ave & Strathmore St,38.979875,-77.093522
14th & L St NW,38.903658,-77.031737
1st & O St NW,38.908643,-77.012365
South Capitol & Atlantic St SW,38.831516,-77.008133
18th & C St NW,38.893511,-77.041544
22nd & P ST NW,38.909394,-77.048728
East West Hwy & 16th St,38.995681,-77.038721
Royal St & Wilkes St,38.799267,-77.0447
14th & Girard St NW,38.925284,-77.032375
11th & O St NW,38.908431,-77.027088
10th St & L'Enfant Plaza SW,38.884323,-77.02601
Connecticut Ave & Yuma St NW,38.947156,-77.065115
2nd St & Massachusetts Ave NE,38.894972,-77.003135
4th St & Madison Dr NW,38.890496,-77.017247
Henry Bacon Dr & Lincoln Memorial Circle NW,38.890539,-77.049383
17th St & Independence Ave SW,38.888097,-77.038325
New Jersey Ave & K St NW,38.902571,-77.013667
14th & Irving St NW,38.928552,-77.032224
Vermont Ave & I St NW,38.901136,-77.034451
Wisconsin Ave & Brandywine St NW,38.949813,-77.080217
24th & R St NE / National Arboretum,38.91263,-76.971923
Division Ave & Foote St NE,38.897407,-76.925907
16th & Q St SE / Anacostia HS,38.870695,-76.982359
1st & D St SE,38.884916,-77.005965
22nd St & Constitution Ave NW,38.892441,-77.048947
61st St & Banks Pl NE,38.891805,-76.913563
Georgia Ave & Piney Branch Rd NW,38.967505,-77.027976
Madison St & Fairfax St,38.812351,-77.040691
Sligo Ave & Carroll Ln,38.990874,-77.016311
15th & W St NW,38.919019,-77.034449
12th St & Pennsylvania Ave SE,38.882489,-76.990121
3rd St & Riggs Rd NE,38.957463,-77.002239
6th & K St NE,38.902932,-76.998405
Pooks Hill Rd & Linden Ave,39.014716,-77.107143
3rd & Underwood St NW,38.968935,-77.016263
18th & Monroe St NE,38.93293,-76.979517
7th & E St SW,38.88345,-77.021741
Potomac & M St NW,38.905509,-77.065246
Columbia & Ontario Rd NW,38.924088,-77.040787
Virginia Ave & 25th St NW,38.89846,-77.053052
Georgia Ave & Kennedy St NW,38.95674,-77.02791
7th St & Massachusetts Ave NE,38.89222,-76.99602
Anacostia Park,38.87335,-76.9834
White Oak Transit Center,39.04104,-76.987125
N Hampton Dr & Ford Ave,38.837306,-77.106111
Whiting & Lane Dr,38.809709,-77.135788
N Howard St & Taney Ave,38.815842,-77.110014
Kenmore Ave & Seminary Rd,38.828887,-77.110588
W&OD Trail & Langston Blvd,38.88715,-77.16212
Roosevelt Center & Crescent Rd,39.00031,-76.878005
Crescent Rd & Ridge Rd,39.006191,-76.891247
Greenbelt Station Parkway,39.002459,-76.916243
Columbia Pike & S Scott St/12th St S,38.863556,-77.077201
N Howard St & N Imboden St,38.818509,-77.105564
Fillmore & Bisdorf,38.83863,-77.116206
Virginia Theological Seminary,38.820152,-77.093879
Fallsgrove Dr & W Montgomery Ave,39.099376,-77.188014
Monroe St & Monroe Pl,39.083673,-77.149162
Needwood Rd & Eagles Head Ct,39.123513,-77.15741
East West Hwy & Blair Mill Rd,38.990249,-77.02935
47th & Elm St,38.982456,-77.091991
Dennis Ave & Amherst Ave,39.025387,-77.044563
Montgomery College / W Campus Dr & Mannakee St,39.095661,-77.159048
Fenton St & Gist Ave,38.989724,-77.023854
Carroll & Westmoreland Ave,38.975,-77.01121
Carroll & Ethan Allen Ave,38.977933,-77.006472
Battery Ln & Trolley Trail,38.992375,-77.100104
Norfolk & Rugby Ave,38.990639,-77.100239
Offutt Ln & Chevy Chase Dr,38.977093,-77.094589
Fleet St & Ritchie Pkwy,39.076331,-77.141378
Piccard & W Gude Dr,39.102212,-77.177091
Silver Spring Transit Center - Top Level,38.994035,-77.030371
Georgia Ave & Spring St,38.999388,-77.031555
Fenton St & Ellsworth Dr ,38.997033,-77.025608
King Farm Blvd & Pleasant Dr,39.114688,-77.171487
King Farm Blvd & Piccard Dr,39.110314,-77.182669
Calvert St & Woodley Pl NW,38.923583,-77.050046
New Jersey Ave & N St NW/Dunbar HS,38.907333,-77.01536
Nannie Helen Burroughs Ave & 49th St NE,38.898536,-76.931862
Deanwood Rec Center,38.908473,-76.933099
Hains Point/Buckeye & Ohio Dr SW,38.878433,-77.03023
Arlington Blvd & Fillmore St,38.873755,-77.089233
Eads St & 12th St S,38.863073,-77.054541
Old Georgetown Rd & Southwick St,38.999634,-77.109647
Friendship Blvd & Willard Ave,38.96115,-77.088659
North Capitol St & G Pl NE,38.899703,-77.008911
31st St & S Woodrow St,38.837846,-77.093478
TJ Cmty Ctr / 2nd St & S Old Glebe Rd,38.869418,-77.095596
Connecticut Ave & Tilden St NW,38.941139,-77.061977
Medical Center Dr & Key West Ave,39.103091,-77.196442
Veterans Pl & Pershing Dr ,38.997445,-77.023894
Rockville Metro East,39.085394,-77.145803
1st & H St NW,38.900358,-77.012108
Fort Totten Metro,38.952369,-77.002721
Takoma Metro,38.975219,-77.016855
Rhode Island Ave Metro,38.920682,-76.995876
Shady Grove Metro West,39.119765,-77.166093
River Rd & Landy Ln,38.964992,-77.103381
Rockville Metro West,39.084379,-77.146866
Bethesda Metro / Wisconsin Ave & Old Georgetown Rd,38.984691,-77.094537
34th & Water St NW,38.903732,-77.067529
Duke St & John Carlyle St,38.804378,-77.060866
New Hampshire Ave & 24th St NW,38.901755,-77.051084
Eisenhower Ave & Mill Race Ln,38.801111,-77.068952
Potomac Greens Dr & Slaters Ln,38.82175,-77.047494
Ballenger Ave & Dulaney St,38.802677,-77.063562
Mount Vernon Ave & E Nelson Ave,38.820064,-77.057619
Mount Vernon Ave & E Del Ray Ave,38.82595,-77.058541
Mount Vernon Ave & Kennedy St,38.833077,-77.059821
WAU / Flower Ave & Division St,38.986743,-77.000035
Connecticut Ave & McKinley St NW,38.964544,-77.075135
15th & L St NW,38.903649,-77.034918
Spring St & 2nd Ave,38.997653,-77.034499
18th & R St NW,38.912648,-77.041834
Union Market,38.907908,-76.99707
19th & G St NW,38.898412,-77.043182
2nd St & Seaton Pl NE,38.914751,-77.00356
Thomas Jefferson St NW & Water/K St NW,38.902826,-77.060173
11th & S St NW,38.913601,-77.027115
2nd & G St NE,38.89967,-77.003666
8th & O St NW,38.90864,-77.02277
Georgia & Missouri Ave NW,38.961339,-77.027855
Rolfe St & 9th St S,38.866471,-77.076131
Tysons Metro South,38.919475,-77.221179
Tanger Outlets,38.7968,-77.0026
Joyce St & 16th St S,38.859254,-77.063275
Commonwealth Ave & Oak St,38.812711,-77.061715
Virginia Ave & C St NW,38.894112,-77.044334
8th & Eye St SE / Barracks Row,38.8792,-76.9953
W Broad St & Little Falls St,38.883601,-77.173438
8th Rd & S Frederick St,38.857049,-77.116339
Shady Grove Metro East,39.121327,-77.164969
Rhodes St & 16th St N,38.892164,-77.079375
21st St & G st NW,38.898302,-77.046913
Fort Stanton Rec Center,38.857369,-76.977688
4th & College St NW,38.921233,-77.018135
