Station,lat,lon
Frankental,47.405478,8.481071
Blatterwiese,47.35594,8.549852
Bahnhof Stadelhofen,47.36691,8.548562
Heuried ZüriMobil Station,47.369181,8.505787
Bahnhof Dübendorf,47.400393,8.622367
Muggenbühl,47.3525,8.527157
Kirche Bühl,47.367656,8.516257
Center Eleven,47.413733,8.541541
Flughafen Kloten,47.45041071949902,8.563071583930034
Schmiede Wiedikon,47.370037,8.518185
Glattwiesen,47.402801,8.58131
Max-Frisch-Platz,47.412732,8.544185
Meierhofplatz,47.401852,8.499265
Oerliker Park,47.415721,8.538067
Helvetiaplatz,47.376467,8.526609
Ackersteinstrasse ZüriMobil Station,47.396806,8.507693
Leutschenpark,47.416873,8.555639
Bahnhof Balsberg,47.44173,8.56879
Letzipark,47.385711,8.499287
Bahnhof Stettbach,47.397885,8.596202
Limmatplatz,47.384918,8.531935
Bahnhof Opfikon,47.430911,8.562033
Sirius-Platz,47.418472,8.561746
Manesseplatz,47.365272,8.52174
Sihlquai,47.380898,8.53797
Schwimmbad Wallisellen,47.417668,8.593612
Stadthaus,47.36910680440694,8.541427242856333
Aegerten,47.368939,8.523306
Stadthaus Opfikon,47.431782,8.567165
Weststrasse,47.37209,8.520482
Bahnhof Kloten,47.448799,8.583122
Schwamendingerplatz,47.4039985,8.5721264
Hegibachplatz,47.3619068,8.5609218
Bahnhof Tiefenbrunnen,47.350578,8.560587
Bahnhof Affoltern,47.420757,8.508131
Seebach ZüriMobil Station,47.421914,8.549832
Boulevard Lilienthal,47.424155,8.562301
Hirzenbachstrasse,47.40158,8.58841
Westpark,47.389862,8.514605
Mühlebachstrasse,47.358557,8.557088
Werdmühleplatz,47.374785,8.539882
Kornhausstrasse,47.388689,8.536433
Stauffacherbrücke,47.3713591,8.5313344
Puls 5,47.3917837,8.5181701
Kinderspital,47.3708387,8.5595335
Birchdörfli,47.406988,8.532464
Rigiplatz,47.384902,8.547904
ZSC Lions,47.394686,8.478455
Seebad Utoquai,47.361335,8.547781
Freibad Allenmoos,47.405751,8.539016
Oberdorf,47.39572,8.62328
Siriuswiese,47.380319,8.552615
Zollstrasse,47.381149,8.532405
Gasometerstrasse,47.383858,8.528796
Hottingerplatz,47.3690153,8.5543974
Hermann-Greulich-Strasse,47.378556,8.520168
Comerge,47.358663827,8.520370505
Josefwiese,47.385718,8.524762
Freibad Letzigraben,47.379686,8.501312
Freilager,47.381591,8.49038
Klopstockwiese,47.361567,8.525525
GZ Wollishofen,47.345248,8.535082
Werd,47.372329,8.52714
Beatenplatz,47.375991201,8.541239126
Milchbuck,47.397293,8.541453
Sihlstrasse,47.3731102,8.5333139
Lake Side,47.353198,8.553189
Radiostudio,47.402749,8.5355
Stadthaus Dübendorf,47.39733,8.61865
Bullingerplatz,47.3795837,8.5156327
"Werdstrasse, TX Group AG",47.37247535,8.53001018
Fischerweg,47.393365,8.512551
Binzallee,47.3663708,8.514176
Emil-Oberhänsli,47.417701,8.545602
Hafen Enge,47.359675,8.535718
Jugendherberge,47.347701,8.528049
Dorfstrasse,47.394554,8.522117
Landesmuseum,47.3789825,8.5412505
Rieterplatz,47.356387,8.526158
Hardau,47.381356,8.510418
Dennlerstrasse,47.381447,8.497982
Rennweg,47.373935,8.538633
Messe/Hallenstadion,47.410618,8.55189
Flugplatz Dübendorf,47.40245,8.62726
Herdern,47.3899342,8.5104051
Forch,47.325159,8.647915
Lochergut,47.375819,8.516676
Louis-Häfliger-Park,47.412873,8.533265
Strandbad Mythenquai,47.355381,8.535119
Luggwegstrasse VBZ,47.386596,8.490837
Schluefweg,47.444516,8.582115
Schaffhauserplatz,47.391289,8.537546
Goldbrunnenplatz,47.370238,8.514841
Hardplatz,47.381915,8.515252
Bahnhof Wiedikon,47.3716661,8.5235479
Rentenanstalt,47.3625938,8.5348427
Bahnhof Wallisellen,47.412103,8.592144
Sportweg,47.3917964,8.5056978
Berninaplatz,47.403822,8.546464
Eawag,47.403145,8.609221
Römerhof,47.368474,8.559983
Sihlpost,47.377359,8.535855
Museum für Gestaltung,47.382798,8.53545
Zwicky-Areal,47.40462,8.60465
Hallenbad Oerlikon,47.4095467,8.5563463
Bahnhof Hardbrücke,47.386741,8.518982
Zwinglihaus,47.371868,8.515558
Zehntenhausplatz,47.4188324,8.5064743
Kreuzplatz,47.365045,8.553922
Stauffacher,47.3742296,8.5285533
Kunsthaus,47.370869,8.548045
Bahnhof Altstetten,47.391366,8.488108
Hürlimannplatz,47.364946,8.525788
Röntgenstrasse,47.3820827,8.5286468
Marktplatz,47.4099615,8.5452956
Feldeggstrasse,47.359978,8.552717
Stapferstube,47.382577,8.546903
Kronwiesen,47.4039845,8.5787183
ETH Zentrum Leonhardstrasse,47.377779,8.546183
Tüffenwies,47.3985553,8.493822
Kirche Unterstrass,47.3876979,8.5421457
Zürcher Kantonalbank,47.368064,8.539046
General-Guisan-Quai,47.364871,8.537971
Bellevue,47.366752,8.544935
Binz,47.36309,8.51813
Gustav-Gull-Platz,47.378548,8.531836
Bäckeranlage,47.377148,8.523818
Pauluskirche,47.394007,8.542036
Hallwylstrasse,47.370141,8.527298
Grünau,47.396401,8.4860017
Turbinenplatz,47.3897772,8.5166922
Luggweg,47.389823,8.49163
Markthalle,47.387531,8.527138
Stampfenbachplatz,47.379952,8.542726
Gessnerallee,47.3758639,8.5354006
Lamprechtweg,47.413514,8.537816
Utogrund,47.378521,8.496727
Central,47.375933,8.543447
Röschibachplatz,47.393309,8.528074
Sackzelg,47.375247,8.496511
Gutstrasse,47.371455,8.5070564
ETH Karl-Schmid-Strasse: Mobile Station Zürich 2,47.375748,8.548599
ETH/Zoologisches Museum,47.375556,8.547901
Binz Center,47.362209,8.510788
Airgate,47.415172,8.553395
Sonnental,47.395368,8.603989
Luegisland,47.4080095,8.5777038
Utoplatz,47.359884,8.523071
Flurpark,47.3836391,8.4941268
Mythenschloss,47.360004,8.534227
Escher-Wyss-Platz,47.3899,8.523722
Villa Bleuler,47.36162,8.554501
Bezirksgebäude,47.374241,8.525602
Predigerplatz,47.373675,8.545505
Wahlenpark,47.416155,8.541712
Pelikanplatz,47.371083,8.536101
Bahnhof Glattbrugg,47.43117,8.55845
Dorflinde,47.407098,8.55033
Bucheggplatz,47.39808,8.533647
Wipkingerplatz,47.392347,8.523549
ETH Hönggerberg,47.40781197,8.506822854
Kalkbreite,47.37497,8.519782
Stauffachertor,47.37271,8.530437
Bahnhof Oerlikon Süd,47.411057,8.543768
Steinfelsareal,47.388151,8.520449
Am Wasser,47.396172,8.50373
Lindenplatz,47.387685,8.486284
Zurlindenstrasse,47.3771535,8.5104883
Bederbrücke,47.365139,8.530916
